"1. Popolazione analizzata"
"";"Collettivo selezionato";"architettura del paesaggio (LM-3, 3/S)";"architettura e ingegneria edile-architettura (LM-4, LM-4 C.U., 4/S)";"biologia (LM-6, 6/S)";"biotecnologie agrarie (LM-7, 7/S)";"biotecnologie industriali (LM-8, 8/S)";"biotecnologie mediche, veterinarie e farmaceutiche (LM-9, 9/S)";"data science (LM-Data)(1)";"fisica (LM-17, 20/S)";"informatica (LM-18, 23/S)";"ingegneria aerospaziale e astronautica (LM-20, 25/S)";"ingegneria biomedica (LM-21, 26/S)";"ingegneria chimica (LM-22, 27/S)";"ingegneria civile (LM-23, 28/S)";"ingegneria dei materiali (LM-53, LM-53ante21, 61/S)";"ingegneria dei sistemi edilizi (LM-24)";"ingegneria della sicurezza (LM-26)";"ingegneria dell'automazione (LM-25, 29/S)";"ingegneria delle telecomunicazioni (LM-27, 30/S)";"ingegneria elettrica (LM-28, 31/S)";"ingegneria elettronica (LM-29, 32/S)";"ingegneria energetica e nucleare (LM-30, 33/S)";"ingegneria gestionale (LM-31, 34/S)";"ingegneria informatica (LM-32, 35/S)";"ingegneria meccanica (LM-33, 36/S)";"ingegneria navale (LM-34, 37/S)";"ingegneria per l'ambiente e il territorio (LM-35, 38/S)";"matematica (LM-40, 45/S)";"modellistica matematico-fisica per l'ingegneria (LM-44, 50/S)";"pianificazione territoriale urbanistica e ambientale (LM-48, 54/S)";"scienze chimiche (LM-54, 62/S)";"scienze della natura (LM-60, 68/S)";"scienze della nutrizione umana (LM-61, 69/S)";"scienze dell'universo (LM-58, 66/S)";"scienze e tecnologie della chimica industriale (LM-71, 81/S)";"scienze e tecnologie della navigazione (LM-72, 80/S)(2)";"scienze e tecnologie geologiche (LM-74, 86/S)";"scienze e tecnologie per l'ambiente e il territorio (LM-75, 82/S)";"scienze geofisiche (LM-79, 85/S)";"scienze per la conservazione dei beni culturali (LM-11, 12/S)";"scienze statistiche (LM-82, 48/S, 90/S, 92/S)";"scienze statistiche attuariali e finanziarie (LM-83, 91/S)";"sicurezza informatica (LM-66)";"tecniche e metodi per la societa' dell'informazione (LM-91, 100/S)"
"Numero di laureati";"37328";"100";"1397";"3659";"208";"643";"2222";"1";"1487";"1310";"881";"1541";"804";"1496";"456";"319";"94";"767";"473";"394";"900";"754";"3073";"2661";"3295";"144";"675";"1092";"235";"155";"1283";"340";"1278";"108";"384";"41";"482";"485";"56";"121";"554";"213";"190";"557"
"Numero di intervistati";"24719";"53";"848";"2442";"142";"440";"1482";"0";"908";"747";"610";"1140";"582";"1012";"275";"218";"61";"473";"297";"293";"568";"509";"2195";"1681";"2311";"105";"447";"693";"122";"101";"823";"211";"863";"69";"238";"29";"332";"322";"30";"65";"361";"158";"121";"342"
"Tasso di risposta sul totale dei laureati";"66,2";"53,0";"60,7";"66,7";"68,3";"68,4";"66,7";"-";"61,1";"57,0";"69,2";"74,0";"72,4";"67,6";"60,3";"68,3";"64,9";"61,7";"62,8";"74,4";"63,1";"67,5";"71,4";"63,2";"70,1";"72,9";"66,2";"63,5";"51,9";"65,2";"64,1";"62,1";"67,5";"63,9";"62,0";"70,7";"68,9";"66,4";"53,6";"53,7";"65,2";"74,2";"63,7";"61,4"
"Tasso di risposta sui laureati contattabili";"70,7";"58,9";"65,5";"70,1";"73,6";"72,4";"70,0";"-";"65,9";"64,3";"74,2";"77,6";"75,9";"71,8";"64,1";"73,6";"67,0";"65,8";"65,4";"78,6";"67,4";"71,9";"75,8";"69,2";"74,7";"77,8";"71,1";"68,8";"56,2";"69,7";"68,4";"68,3";"70,6";"68,3";"64,7";"76,3";"72,5";"70,5";"55,6";"57,0";"70,4";"78,6";"72,0";"67,1"
"Genere (%)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Uomini";"57,9";"38,0";"40,7";"26,9";"46,6";"40,9";"25,6";"*";"71,4";"82,8";"81,0";"37,0";"50,1";"69,3";"64,3";"53,3";"69,1";"82,5";"75,1";"85,0";"83,7";"79,3";"61,0";"81,3";"86,5";"75,7";"55,7";"51,3";"69,4";"52,3";"48,8";"38,8";"23,9";"53,7";"57,3";"*";"61,2";"43,1";"66,1";"17,4";"49,3";"62,9";"88,4";"62,5"
"Donne";"42,1";"62,0";"59,3";"73,1";"53,4";"59,1";"74,4";"*";"28,6";"17,2";"19,0";"63,0";"49,9";"30,7";"35,7";"46,7";"30,9";"17,5";"24,9";"15,0";"16,3";"20,7";"39,0";"18,7";"13,5";"24,3";"44,3";"48,7";"30,6";"47,7";"51,2";"61,2";"76,1";"46,3";"42,7";"*";"38,8";"56,9";"33,9";"82,6";"50,7";"37,1";"11,6";"37,5"
"Eta' alla laurea (medie, in anni)";"26,7";"29,6";"27,2";"26,8";"26,5";"25,9";"26,0";"*";"26,1";"26,7";"26,1";"26,0";"26,5";"29,2";"26,6";"28,4";"30,1";"26,4";"27,3";"26,8";"26,4";"26,2";"26,0";"26,8";"26,9";"27,1";"27,7";"26,2";"26,1";"28,0";"26,1";"27,8";"28,1";"26,2";"26,0";"*";"27,0";"27,6";"28,8";"27,4";"26,0";"26,6";"26,5";"26,6"
"Voto di laurea (medie, in 110-mi)";"107,3";"106,8";"108,2";"109,1";"109,9";"108,7";"109,1";"*";"110,4";"107,9";"105,6";"107,4";"106,0";"104,3";"107,3";"108,0";"103,4";"105,8";"104,5";"107,4";"107,1";"107,0";"104,8";"106,4";"105,3";"107,6";"106,1";"109,5";"107,7";"108,4";"109,7";"109,2";"108,1";"108,7";"108,3";"*";"108,8";"109,3";"106,9";"106,8";"106,9";"107,6";"105,9";"108,0"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"2,8";"3,0";"3,1";"2,7";"2,7";"2,6";"2,5";"*";"2,8";"2,9";"3,1";"2,7";"2,9";"3,5";"2,7";"3,5";"2,9";"3,0";"2,9";"3,1";"3,0";"2,8";"2,7";"2,9";"3,0";"3,2";"3,0";"2,8";"2,5";"2,8";"2,6";"2,8";"2,6";"2,8";"2,5";"*";"2,9";"2,8";"3,2";"2,6";"2,6";"2,8";"2,7";"2,4"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"1,9";"-";"-";"-";"-";"-";"-";"*";"-";"-";"-";"-";"-";"2,0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1,9";"1,9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"*";"-";"-";"-";"-";"-";"-";"-";"-"
