"1. Popolazione analizzata"
"";"Collettivo selezionato (1)";"architettura del paesaggio (LM-3, 3/S)(1)";"architettura e ingegneria edile-architettura (LM-4, LM-4 C.U., 4/S)(1)";"biologia (LM-6, 6/S)(1)";"biotecnologie agrarie (LM-7, 7/S)";"biotecnologie industriali (LM-8, 8/S)(1)";"biotecnologie mediche, veterinarie e farmaceutiche (LM-9, 9/S)(1)";"fisica (LM-17, 20/S)(1)";"informatica (LM-18, 23/S)(1)";"ingegneria aerospaziale e astronautica (LM-20, 25/S)(1)";"ingegneria biomedica (LM-21, 26/S)(1)";"ingegneria chimica (LM-22, 27/S)(1)";"ingegneria civile (LM-23, 28/S)";"ingegneria dei materiali (LM-53, LM-53ante21, 61/S)(1)";"ingegneria dei sistemi edilizi (LM-24)(1)";"ingegneria della sicurezza (LM-26)(1)";"ingegneria dell'automazione (LM-25, 29/S)(1)";"ingegneria delle telecomunicazioni (LM-27, 30/S)(1)";"ingegneria elettrica (LM-28, 31/S)";"ingegneria elettronica (LM-29, 32/S)(1)";"ingegneria energetica e nucleare (LM-30, 33/S)";"ingegneria gestionale (LM-31, 34/S)(1)";"ingegneria informatica (LM-32, 35/S)(1)";"ingegneria meccanica (LM-33, 36/S)(1)";"ingegneria navale (LM-34, 37/S)";"ingegneria per l'ambiente e il territorio (LM-35, 38/S)";"matematica (LM-40, 45/S)(1)";"modellistica matematico-fisica per l'ingegneria (LM-44, 50/S)(1)";"pianificazione territoriale urbanistica e ambientale (LM-48, 54/S)(1)";"scienze chimiche (LM-54, 62/S)(1)";"scienze della natura (LM-60, 68/S)(1)";"scienze della nutrizione umana (LM-61, 69/S)";"scienze dell'universo (LM-58, 66/S)(1)";"scienze e tecnologie della chimica industriale (LM-71, 81/S)(1)";"scienze e tecnologie della navigazione (LM-72, 80/S)";"scienze e tecnologie geologiche (LM-74, 86/S)(1)";"scienze e tecnologie per l'ambiente e il territorio (LM-75, 82/S)";"scienze geofisiche (LM-79, 85/S)";"scienze per la conservazione dei beni culturali (LM-11, 12/S)(1)";"scienze statistiche (LM-82, 48/S, 90/S, 92/S)";"scienze statistiche attuariali e finanziarie (LM-83, 91/S)";"sicurezza informatica (LM-66)(1)";"tecniche e metodi per la societa' dell'informazione (LM-91, 100/S)(1)"
"Numero di laureati";"31849";"111";"1615";"3211";"157";"469";"1382";"1101";"947";"692";"1003";"700";"2338";"350";"669";"103";"515";"440";"421";"888";"689";"2485";"1575";"3022";"127";"810";"1014";"153";"219";"1070";"251";"828";"98";"301";"19";"672";"391";"37";"98";"509";"224";"54";"91"
"Numero di intervistati";"15006";"46";"672";"1450";"92";"225";"682";"468";"388";"317";"472";"349";"1185";"150";"321";"50";"242";"195";"228";"390";"364";"1188";"676";"1459";"67";"417";"492";"55";"109";"499";"110";"418";"42";"149";"10";"300";"198";"27";"37";"283";"126";"21";"37"
"Tasso di risposta sul totale dei laureati";"47,1";"41,4";"41,6";"45,2";"58,6";"48,0";"49,3";"42,5";"41,0";"45,8";"47,1";"49,9";"50,7";"42,9";"48,0";"48,5";"47,0";"44,3";"54,2";"43,9";"52,8";"47,8";"42,9";"48,3";"52,8";"51,5";"48,5";"35,9";"49,8";"46,6";"43,8";"50,5";"42,9";"49,5";"52,6";"44,6";"50,6";"73,0";"37,8";"55,6";"56,3";"38,9";"40,7"
"Tasso di risposta sui laureati contattabili";"68,5";"59,0";"64,6";"64,6";"80,7";"67,8";"68,9";"64,5";"64,7";"67,0";"71,4";"69,9";"71,9";"64,7";"68,6";"76,9";"66,9";"66,3";"76,0";"66,9";"77,9";"66,4";"69,8";"70,9";"76,1";"73,2";"68,5";"43,7";"67,7";"69,9";"65,1";"67,5";"72,4";"69,6";"76,9";"68,2";"70,7";"81,8";"50,0";"74,7";"75,9";"77,8";"59,7"
"Genere (%)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Uomini";"59,4";"43,2";"44,1";"26,6";"43,3";"46,9";"26,0";"70,9";"83,5";"84,2";"41,3";"58,0";"70,7";"67,4";"55,9";"59,2";"84,7";"78,0";"87,9";"84,9";"77,8";"59,9";"86,0";"87,8";"77,2";"57,7";"45,6";"65,4";"53,9";"49,9";"43,0";"17,3";"64,3";"61,5";"89,5";"63,8";"48,3";"48,6";"18,4";"47,5";"54,9";"72,2";"70,3"
"Donne";"40,6";"56,8";"55,9";"73,4";"56,7";"53,1";"74,0";"29,1";"16,5";"15,8";"58,7";"42,0";"29,3";"32,6";"44,1";"40,8";"15,3";"22,0";"12,1";"15,1";"22,2";"40,1";"14,0";"12,2";"22,8";"42,3";"54,4";"34,6";"46,1";"50,1";"57,0";"82,7";"35,7";"38,5";"10,5";"36,2";"51,7";"51,4";"81,6";"52,5";"45,1";"27,8";"29,7"
"Eta' alla laurea (medie, in anni)";"26,9";"28,6";"27,5";"27,2";"26,5";"26,0";"26,3";"26,3";"27,2";"26,5";"26,7";"26,6";"28,0";"26,4";"28,1";"28,4";"26,3";"27,1";"26,7";"26,6";"26,5";"26,2";"26,7";"26,8";"27,4";"27,5";"26,5";"25,6";"31,2";"26,2";"28,2";"28,4";"26,4";"25,8";"29,2";"27,2";"27,5";"26,9";"26,8";"26,0";"26,4";"28,6";"26,3"
"Voto di laurea (medie, in 110-mi)";"107,7";"108,2";"108,1";"109,1";"109,9";"109,1";"109,5";"110,6";"108,5";"105,7";"107,1";"106,4";"105,9";"107,8";"107,8";"105,7";"106,4";"106,4";"107,6";"108,0";"105,9";"105,8";"107,7";"106,5";"107,1";"107,2";"109,0";"106,2";"109,9";"109,7";"109,7";"107,3";"109,2";"108,8";"105,9";"108,7";"109,7";"109,1";"109,4";"105,6";"108,2";"110,9";"109,2"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"2,9";"3,0";"3,2";"2,7";"2,5";"2,5";"2,5";"2,8";"2,9";"3,3";"2,9";"3,0";"3,4";"2,7";"3,1";"2,5";"2,8";"3,1";"3,1";"3,0";"3,0";"2,7";"2,9";"3,0";"3,3";"3,0";"2,8";"2,2";"3,0";"2,6";"2,9";"2,6";"2,8";"2,5";"3,5";"3,0";"2,7";"3,1";"2,6";"2,7";"2,8";"2,3";"2,3"
