"1. Popolazione analizzata"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Numero di laureati";"22698";"19883";"17400"
"Numero di intervistati";"14411";"11547";"7777"
"Tasso di risposta sul totale dei laureati ";"63,5";"58,1";"44,7"
"Tasso di risposta sui laureati contattabili ";"67,9";"65,2";"65,5"
"Genere (%)";" ";" ";" ";" "
"Uomini";"21,8";"21,9";"22,9"
"Donne";"78,2";"78,1";"77,1"
"Età alla laurea (medie, in anni) ";"28,6";"28,1";"27,9"
"Voto di laurea (medie, in 110-mi) ";"108,0";"108,7";"109,1"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici) ";"2,9";"2,9";"3,0"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici) ";"1,7";"1,6";"1,8"
"Indice di ritardo (sui laureati in atenei non telematici) ";"0,46";"0,47";"0,48"
"Indice di ritardo (sui laureati in atenei telematici) ";"-0,15";"-0,18";"-0,12"
"2b. Formazione post-laurea"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"40,9";"48,8";"52,2"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" ";" "
"Collaborazione volontaria";"4,9";"5,4";"5,8"
"Tirocinio/praticantato";"1,8";"2,3";"2,2"
"Dottorato di ricerca";"4,0";"6,3";"6,0"
"Scuola di specializzazione";"4,9";"9,1";"10,1"
"Master universitario di primo livello";"7,3";"10,7";"13,6"
"Master universitario di secondo livello";"3,9";"5,3";"7,1"
"Altro tipo di master";"7,7";"9,9";"12,4"
"Stage in azienda";"13,6";"15,6";"15,8"
"Corso di formazione professionale";"3,3";"4,3";"5,0"
"Attività sostenuta da borsa di studio";"2,3";"3,0";"3,3"
"3. Condizione occupazionale"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Tasso di occupazione ";" ";" ";" ";" "
"Uomini";"67,7";"81,2";"82,7"
"Donne";"69,4";"81,2";"82,2"
"Totale";"69,0";"81,2";"82,3"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"59,7";"78,2";"79,4"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"2,1";"1,3";"0,6"
"Esperienze di lavoro post-laurea (%) ";" ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"16,3";"13,7";"13,5"
"Non hanno mai lavorato dopo la laurea";"14,7";"5,1";"4,2"
"Tasso di disoccupazione ";"18,0";"8,9";"7,8"
"Ricerca del lavoro (%) ";" ";" ";" ";" "
"Non lavorano e non cercano";"11,6";"9,0";"10,1"
"Non lavorano ma cercano";"19,4";"9,8";"7,5"
"4. Ingresso nel mercato del lavoro"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Numero di occupati";"9945";"9373";"6404"
