"1. Popolazione analizzata"
"";"Collettivo selezionato";"Uomini";"Donne"
"Numero di laureati";"22698";"4944";"17754"
"Numero di intervistati";"14411";"3048";"11363"
"Tasso di risposta sul totale dei laureati ";"63,5";"61,7";"64,0"
"Tasso di risposta sui laureati contattabili ";"67,9";"66,2";"68,3"
"Genere (%)";" ";" ";" "
"Uomini";"21,8";"100,0";"-"
"Donne";"78,2";"-";"100,0"
"Età alla laurea (medie, in anni) ";"28,6";"29,2";"28,4"
"Voto di laurea (medie, in 110-mi) ";"108,0";"109,0";"107,8"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici) ";"2,9";"3,0";"2,9"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici) ";"1,7";"1,6";"1,7"
"Indice di ritardo (sui laureati in atenei non telematici) ";"0,46";"0,50";"0,45"
"Indice di ritardo (sui laureati in atenei telematici) ";"-0,15";"-0,20";"-0,14"
"2b. Formazione post-laurea"
"";"Collettivo selezionato";"Uomini";"Donne"
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"40,9";"42,0";"40,6"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" "
"Collaborazione volontaria";"4,9";"6,3";"4,5"
"Tirocinio/praticantato";"1,8";"2,1";"1,7"
"Dottorato di ricerca";"4,0";"7,4";"3,0"
"Scuola di specializzazione";"4,9";"4,5";"5,0"
"Master universitario di primo livello";"7,3";"7,2";"7,3"
"Master universitario di secondo livello";"3,9";"4,1";"3,8"
"Altro tipo di master";"7,7";"6,3";"8,1"
"Stage in azienda";"13,6";"11,7";"14,1"
"Corso di formazione professionale";"3,3";"3,1";"3,3"
"Attività sostenuta da borsa di studio";"2,3";"2,7";"2,2"
"3. Condizione occupazionale"
"";"Collettivo selezionato";"Uomini";"Donne"
"Tasso di occupazione ";" ";" ";" "
"Uomini";"67,7";"67,7";"-"
"Donne";"69,4";"-";"69,4"
"Totale";"69,0";"67,7";"69,4"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"59,7";"59,0";"59,9"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"2,1";"2,4";"2,1"
"Esperienze di lavoro post-laurea (%) ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"16,3";"16,3";"16,3"
"Non hanno mai lavorato dopo la laurea";"14,7";"16,0";"14,4"
"Tasso di disoccupazione ";"18,0";"18,6";"17,8"
"Ricerca del lavoro (%) ";" ";" ";" "
"Non lavorano e non cercano";"11,6";"12,8";"11,3"
"Non lavorano ma cercano";"19,4";"19,5";"19,4"
"4. Ingresso nel mercato del lavoro"
"";"Collettivo selezionato";"Uomini";"Donne"
"Numero di occupati";"9945";"2064";"7881"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"28,9";"27,1";"29,4"
"Non proseguono il lavoro iniziato prima della laurea";"21,8";"20,4";"22,2"
"Hanno iniziato a lavorare dopo la laurea";"49,2";"52,4";"48,4"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" ";" ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"1,0";"1,0";"0,9"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"3,0";"3,2";"2,9"
"Tempo dalla laurea al reperimento del primo lavoro";"3,9";"4,2";"3,9"
"5. Caratteristiche dell'attuale lavoro"
"";"Collettivo selezionato";"Uomini";"Donne"
"Professione svolta (%) ";" ";" ";" "
"Imprenditori e alta dirigenza";"0,7";"1,4";"0,6"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"52,4";"57,8";"51,0"
"Professioni tecniche";"24,8";"19,2";"26,2"
"Professioni esecutive nel lavoro d'ufficio";"14,2";"12,0";"14,7"
"Altre professioni ";"8,0";"9,6";"7,5"
"Tipologia dell'attività lavorativa (%)";" ";" ";" "
"Attività in proprio ";"6,6";"10,0";"5,7"
"Tempo indeterminato";"22,8";"20,1";"23,6"
"Tempo determinato";"42,5";"36,7";"44,0"
"Borsa o assegno di studio o di ricerca ";"6,4";"11,8";"5,0"
"Contratti formativi ";"11,5";"10,8";"11,7"
"Altre forme contrattuali ";"8,5";"9,3";"8,3"
"Senza contratto";"1,5";"1,1";"1,6"
"Diffusione dello smart working (%) ";"20,5";"25,5";"19,2"
"Diffusione del part-time (%)";"28,8";"25,6";"29,6"
"Diffusione del part-time involontario (%) ";"20,5";"16,9";"21,5"
"Numero di ore settimanali di lavoro (medie) ";"30,7";"31,7";"30,4"
"6. Caratteristiche dell'impresa"
"";"Collettivo selezionato";"Uomini";"Donne"
"Settore di attività (%)";" ";" ";" "
"Pubblico";"31,1";"34,9";"30,2"
"Privato";"59,2";"59,0";"59,2"
"Non profit";"9,6";"6,1";"10,5"
"Ramo di attività economica (%)";" ";" ";" "
"Agricoltura";"0,2";"0,4";"0,2"
"Metalmeccanica e meccanica di precisione";"2,4";"1,9";"2,5"
"Edilizia ";"1,2";"2,2";"1,0"
"Chimica/Energia ";"1,3";"1,5";"1,3"
"Altra industria manifatturiera ";"4,2";"4,4";"4,1"
"Totale industria";"9,1";"10,0";"8,9"
"Commercio ";"10,1";"10,8";"9,9"
"Credito, assicurazioni";"1,2";"1,4";"1,2"
"Trasporti, pubblicità, comunicazioni ";"6,5";"7,0";"6,4"
"Consulenze varie ";"5,3";"5,4";"5,2"
"Informatica";"1,3";"1,3";"1,3"
"Altri servizi alle imprese";"3,3";"3,8";"3,2"
"Pubblica amministrazione, forze armate";"2,3";"2,7";"2,2"
"Istruzione e ricerca ";"41,6";"42,1";"41,4"
"Sanità";"1,1";"0,8";"1,2"
"Altri servizi ";"17,5";"13,8";"18,5"
"Totale servizi";"90,0";"88,9";"90,3"
"Ripartizione geografica di lavoro (%)";" ";" ";" "
"Nord-Ovest";"24,8";"26,2";"24,4"
"Nord-Est";"22,9";"23,7";"22,8"
"Centro";"22,2";"22,5";"22,1"
"Sud";"17,5";"15,2";"18,1"
"Isole";"7,2";"6,5";"7,4"
"Estero";"5,0";"5,6";"4,9"
"7. Retribuzione"
"";"Collettivo selezionato";"Uomini";"Donne"
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" "
"Uomini";"1309";"1309";"-"
"Donne";"1225";"-";"1225"
"Totale";"1242";"1309";"1225"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"1195";"1224";"1187"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo selezionato";"Uomini";"Donne"
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"41,2";"41,4";"41,1"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" "
"Dal punto di vista economico";"8,6";"9,5";"8,4"
"Nella posizione lavorativa";"22,8";"21,6";"23,1"
"Nelle mansioni svolte";"10,2";"9,1";"10,5"
"Nelle competenze professionali";"57,7";"59,5";"57,2"
"Sotto altri punti di vista";"0,7";"0,4";"0,7"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" "
"In misura elevata";"51,8";"52,6";"51,6"
"In misura ridotta";"35,5";"31,6";"36,5"
"Per niente";"12,5";"15,6";"11,7"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" "
"Molto adeguata";"59,4";"58,3";"59,6"
"Poco adeguata";"30,0";"28,0";"30,6"
"Per niente adeguata";"10,3";"13,5";"9,5"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" "
"Richiesta per legge";"33,1";"36,2";"32,2"
"Non richiesta ma necessaria";"18,2";"15,2";"19,0"
"Non richiesta ma utile";"37,1";"35,4";"37,5"
"Non richiesta né utile";"11,5";"12,9";"11,1"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Collettivo selezionato";"Uomini";"Donne"
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" "
"Molto efficace/Efficace";"58,8";"58,7";"58,8"
"Abbastanza efficace";"26,4";"23,8";"27,0"
"Poco/Per nulla efficace";"14,8";"17,5";"14,1"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,6";"7,6";"7,6"
"Occupati che cercano lavoro (%)";"32,9";"32,4";"33,0"
