"1. Popolazione analizzata"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Numero di laureati";"17400";"3982";"13418"
"Numero di intervistati";"7777";"1811";"5966"
"Tasso di risposta sul totale dei laureati ";"44,7";"45,5";"44,5"
"Tasso di risposta sui laureati contattabili ";"65,5";"66,4";"65,2"
"Genere (%)";" ";" ";" "
"Uomini";"22,9";"100,0";"-"
"Donne";"77,1";"-";"100,0"
"Età alla laurea (medie, in anni) ";"27,9";"28,6";"27,7"
"Voto di laurea (medie, in 110-mi) ";"109,1";"109,6";"108,9"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici) ";"3,0";"3,0";"2,9"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici) ";"1,8";"2,1";"1,7"
"Indice di ritardo (sui laureati in atenei non telematici) ";"0,48";"0,50";"0,47"
"Indice di ritardo (sui laureati in atenei telematici) ";"-0,12";"0,04";"-0,15"
"2b. Formazione post-laurea"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"52,2";"52,6";"52,0"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" "
"Collaborazione volontaria";"5,8";"6,5";"5,6"
"Tirocinio/praticantato";"2,2";"2,7";"2,0"
"Dottorato di ricerca";"6,0";"11,7";"4,3"
"Scuola di specializzazione";"10,1";"8,7";"10,5"
"Master universitario di primo livello";"13,6";"12,4";"14,0"
"Master universitario di secondo livello";"7,1";"7,0";"7,2"
"Altro tipo di master";"12,4";"11,3";"12,7"
"Stage in azienda";"15,8";"14,7";"16,2"
"Corso di formazione professionale";"5,0";"5,4";"4,9"
"Attività sostenuta da borsa di studio";"3,3";"4,9";"2,9"
"3. Condizione occupazionale"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Tasso di occupazione ";" ";" ";" "
"Uomini";"82,7";"82,7";"-"
"Donne";"82,2";"-";"82,2"
"Totale";"82,3";"82,7";"82,2"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"79,4";"80,2";"79,1"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"0,6";"0,7";"0,5"
"Esperienze di lavoro post-laurea (%) ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"13,5";"12,5";"13,7"
"Non hanno mai lavorato dopo la laurea";"4,2";"4,7";"4,0"
