"1. Popolazione analizzata"
"";"Collettivo selezionato";"Uomini";"Donne"
"Numero di laureati";"35139";"12958";"22181"
"Numero di intervistati";"23140";"8680";"14460"
"Tasso di risposta sul totale dei laureati ";"65,9";"67,0";"65,2"
"Tasso di risposta sui laureati contattabili ";"70,3";"71,4";"69,7"
"Genere (%)";" ";" ";" "
"Uomini";"36,9";"100,0";"-"
"Donne";"63,1";"-";"100,0"
"Età alla laurea (medie, in anni) ";"27,1";"27,4";"27,0"
"Voto di laurea (medie, in 110-mi) ";"106,8";"105,8";"107,4"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici) ";"2,7";"2,7";"2,6"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici) ";"1,8";"1,7";"1,8"
"Indice di ritardo (sui laureati in atenei non telematici) ";"0,33";"0,34";"0,32"
"Indice di ritardo (sui laureati in atenei telematici) ";"-0,12";"-0,15";"-0,10"
"2b. Formazione post-laurea"
"";"Collettivo selezionato";"Uomini";"Donne"
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"56,7";"50,8";"60,3"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" "
"Collaborazione volontaria";"4,5";"3,5";"5,2"
"Tirocinio/praticantato";"19,2";"12,6";"23,1"
"Dottorato di ricerca";"2,3";"2,7";"2,1"
"Scuola di specializzazione";"3,3";"2,2";"4,0"
"Master universitario di primo livello";"4,5";"4,1";"4,7"
"Master universitario di secondo livello";"4,9";"4,1";"5,4"
"Altro tipo di master";"5,8";"5,3";"6,2"
"Stage in azienda";"27,8";"27,5";"28,1"
"Corso di formazione professionale";"2,1";"1,6";"2,4"
"Attività sostenuta da borsa di studio";"2,0";"2,0";"2,1"
"3. Condizione occupazionale"
"";"Collettivo selezionato";"Uomini";"Donne"
"Tasso di occupazione ";" ";" ";" "
"Uomini";"81,6";"81,6";"-"
"Donne";"75,0";"-";"75,0"
"Totale";"77,5";"81,6";"75,0"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"70,9";"75,9";"68,0"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"3,4";"2,2";"4,1"
"Esperienze di lavoro post-laurea (%) ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"9,9";"8,7";"10,7"
"Non hanno mai lavorato dopo la laurea";"12,6";"9,7";"14,3"
"Tasso di disoccupazione ";"11,9";"10,0";"13,1"
"Ricerca del lavoro (%) ";" ";" ";" "
"Non lavorano e non cercano";"9,2";"7,3";"10,4"
"Non lavorano ma cercano";"13,3";"11,1";"14,6"
"4. Ingresso nel mercato del lavoro"
"";"Collettivo selezionato";"Uomini";"Donne"
"Numero di occupati";"17933";"7084";"10849"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"27,1";"28,1";"26,4"
"Non proseguono il lavoro iniziato prima della laurea";"19,2";"18,4";"19,8"
"Hanno iniziato a lavorare dopo la laurea";"53,6";"53,5";"53,7"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" ";" ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,9";"0,7";"1,0"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"2,6";"2,5";"2,7"
"Tempo dalla laurea al reperimento del primo lavoro";"3,5";"3,3";"3,7"
