"1. Popolazione analizzata"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Numero di laureati";"29930";"11890";"18040"
"Numero di intervistati";"13880";"5500";"8380"
"Tasso di risposta sul totale dei laureati ";"46,4";"46,3";"46,5"
"Tasso di risposta sui laureati contattabili ";"64,9";"64,9";"64,9"
"Genere (%)";" ";" ";" "
"Uomini";"39,7";"100,0";"-"
"Donne";"60,3";"-";"100,0"
"Età alla laurea (medie, in anni) ";"27,2";"27,4";"27,0"
"Voto di laurea (medie, in 110-mi) ";"107,2";"106,2";"107,8"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici) ";"2,7";"2,7";"2,7"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici) ";"1,8";"1,7";"1,8"
"Indice di ritardo (sui laureati in atenei non telematici) ";"0,34";"0,35";"0,34"
"Indice di ritardo (sui laureati in atenei telematici) ";"-0,11";"-0,16";"-0,08"
"2b. Formazione post-laurea"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"64,7";"60,8";"67,2"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" "
"Collaborazione volontaria";"5,9";"4,6";"6,8"
"Tirocinio/praticantato";"22,2";"15,8";"26,3"
"Dottorato di ricerca";"3,7";"4,1";"3,4"
"Scuola di specializzazione";"11,7";"5,7";"15,6"
"Master universitario di primo livello";"8,3";"7,2";"9,0"
"Master universitario di secondo livello";"9,7";"8,9";"10,2"
"Altro tipo di master";"11,0";"10,0";"11,7"
"Stage in azienda";"30,0";"30,9";"29,4"
"Corso di formazione professionale";"3,7";"3,1";"4,0"
"Attività sostenuta da borsa di studio";"3,1";"2,6";"3,4"
"3. Condizione occupazionale"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Tasso di occupazione ";" ";" ";" "
"Uomini";"90,9";"90,9";"-"
"Donne";"88,2";"-";"88,2"
"Totale";"89,3";"90,9";"88,2"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"87,4";"88,7";"86,5"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"0,7";"0,4";"0,9"
"Esperienze di lavoro post-laurea (%) ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"6,9";"5,5";"7,9"
"Non hanno mai lavorato dopo la laurea";"3,8";"3,6";"3,9"
"Tasso di disoccupazione ";"4,2";"3,5";"4,7"
"Ricerca del lavoro (%) ";" ";" ";" "
"Non lavorano e non cercano";"6,2";"5,3";"6,8"
"Non lavorano ma cercano";"4,6";"3,8";"5,0"
"4. Ingresso nel mercato del lavoro"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Numero di occupati";"12393";"5000";"7393"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"11,2";"12,7";"10,3"
"Non proseguono il lavoro iniziato prima della laurea";"22,7";"22,1";"23,0"
"Hanno iniziato a lavorare dopo la laurea";"66,1";"65,1";"66,7"
