"1. Popolazione analizzata"
"";"Collettivo selezionato";"Uomini";"Donne"
"Numero di laureati";"10342";"4802";"5540"
"Numero di intervistati";"6539";"3013";"3526"
"Tasso di risposta sul totale dei laureati ";"63,2";"62,7";"63,6"
"Tasso di risposta sui laureati contattabili ";"66,5";"65,8";"67,1"
"Genere (%)";" ";" ";" "
"Uomini";"46,4";"100,0";"-"
"Donne";"53,6";"-";"100,0"
"Età alla laurea (medie, in anni) ";"29,1";"28,8";"29,3"
"Voto di laurea (medie, in 110-mi) ";"107,4";"106,2";"108,4"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici) ";"2,6";"2,6";"2,6"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici) ";"1,7";"1,7";"1,6"
"Indice di ritardo (sui laureati in atenei non telematici) ";"0,32";"0,32";"0,32"
"Indice di ritardo (sui laureati in atenei telematici) ";"-0,17";"-0,15";"-0,21"
"2b. Formazione post-laurea"
"";"Collettivo selezionato";"Uomini";"Donne"
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"32,1";"31,0";"33,1"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" "
"Collaborazione volontaria";"5,1";"4,9";"5,2"
"Tirocinio/praticantato";"2,8";"2,3";"3,2"
"Dottorato di ricerca";"3,1";"3,3";"2,9"
"Scuola di specializzazione";"2,9";"2,9";"2,8"
"Master universitario di primo livello";"6,5";"5,9";"6,9"
"Master universitario di secondo livello";"3,6";"3,4";"3,9"
"Altro tipo di master";"4,3";"4,5";"4,2"
"Stage in azienda";"9,0";"8,7";"9,2"
"Corso di formazione professionale";"3,6";"3,6";"3,6"
"Attività sostenuta da borsa di studio";"3,3";"3,7";"2,9"
"3. Condizione occupazionale"
"";"Collettivo selezionato";"Uomini";"Donne"
"Tasso di occupazione ";" ";" ";" "
"Uomini";"83,4";"83,4";"-"
"Donne";"83,9";"-";"83,9"
"Totale";"83,7";"83,4";"83,9"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"72,7";"74,8";"70,8"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"0,6";"0,5";"0,8"
"Esperienze di lavoro post-laurea (%) ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"8,3";"8,9";"7,8"
"Non hanno mai lavorato dopo la laurea";"8,0";"7,7";"8,3"
"Tasso di disoccupazione ";"9,0";"9,1";"9,0"
"Ricerca del lavoro (%) ";" ";" ";" "
"Non lavorano e non cercano";"5,8";"6,1";"5,6"
"Non lavorano ma cercano";"10,5";"10,5";"10,6"
"4. Ingresso nel mercato del lavoro"
"";"Collettivo selezionato";"Uomini";"Donne"
"Numero di occupati";"5470";"2513";"2957"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"47,3";"44,1";"50,1"
"Non proseguono il lavoro iniziato prima della laurea";"17,1";"18,0";"16,3"
"Hanno iniziato a lavorare dopo la laurea";"35,6";"37,8";"33,6"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" ";" ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,8";"0,8";"0,9"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"2,8";"2,6";"2,9"
"Tempo dalla laurea al reperimento del primo lavoro";"3,6";"3,5";"3,8"
"5. Caratteristiche dell'attuale lavoro"
"";"Collettivo selezionato";"Uomini";"Donne"
"Professione svolta (%) ";" ";" ";" "
"Imprenditori e alta dirigenza";"1,6";"2,3";"1,0"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"23,8";"28,4";"19,9"
"Professioni tecniche";"66,9";"59,9";"72,9"
"Professioni esecutive nel lavoro d'ufficio";"3,6";"3,6";"3,5"
"Altre professioni ";"4,2";"5,8";"2,7"
"Tipologia dell'attività lavorativa (%)";" ";" ";" "
"Attività in proprio ";"13,0";"15,8";"10,7"
"Tempo indeterminato";"38,4";"31,0";"44,7"
"Tempo determinato";"25,6";"27,0";"24,5"
"Borsa o assegno di studio o di ricerca ";"6,7";"7,2";"6,3"
"Contratti formativi ";"4,9";"4,6";"5,2"
"Altre forme contrattuali ";"10,5";"13,6";"7,9"
"Senza contratto";"0,6";"0,7";"0,6"
"Diffusione dello smart working (%) ";"8,5";"8,4";"8,7"
"Diffusione del part-time (%)";"20,7";"22,8";"19,0"
"Diffusione del part-time involontario (%) ";"13,2";"14,5";"12,0"
"Numero di ore settimanali di lavoro (medie) ";"34,5";"34,2";"34,8"
"6. Caratteristiche dell'impresa"
"";"Collettivo selezionato";"Uomini";"Donne"
"Settore di attività (%)";" ";" ";" "
"Pubblico";"42,2";"36,6";"47,1"
"Privato";"51,6";"60,0";"44,3"
"Non profit";"6,0";"3,2";"8,4"
"Ramo di attività economica (%)";" ";" ";" "
"Agricoltura";"7,5";"10,6";"4,9"
"Metalmeccanica e meccanica di precisione";"0,5";"0,6";"0,3"
"Edilizia ";"0,5";"0,9";"0,2"
"Chimica/Energia ";"1,1";"1,5";"0,7"
"Altra industria manifatturiera ";"5,6";"5,4";"5,8"
"Totale industria";"7,7";"8,4";"7,1"
"Commercio ";"3,4";"4,1";"2,8"
"Credito, assicurazioni";"0,2";"0,1";"0,2"
"Trasporti, pubblicità, comunicazioni ";"1,0";"1,4";"0,6"
"Consulenze varie ";"4,3";"4,5";"4,0"
"Informatica";"0,3";"0,4";"0,2"
"Altri servizi alle imprese";"0,7";"0,6";"0,9"
"Pubblica amministrazione, forze armate";"3,1";"2,7";"3,4"
"Istruzione e ricerca ";"15,9";"18,1";"14,0"
"Sanità";"30,9";"21,9";"38,5"
"Altri servizi ";"24,8";"26,8";"23,0"
"Totale servizi";"84,5";"80,8";"87,7"
"Ripartizione geografica di lavoro (%)";" ";" ";" "
"Nord-Ovest";"20,7";"20,9";"20,5"
"Nord-Est";"23,2";"22,8";"23,5"
"Centro";"22,5";"22,4";"22,6"
"Sud";"22,7";"23,1";"22,4"
"Isole";"9,2";"9,0";"9,3"
"Estero";"1,5";"1,5";"1,5"
"7. Retribuzione"
"";"Collettivo selezionato";"Uomini";"Donne"
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" "
"Uomini";"1441";"1441";"-"
"Donne";"1460";"-";"1460"
"Totale";"1451";"1441";"1460"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"1338";"1352";"1325"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo selezionato";"Uomini";"Donne"
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"44,8";"48,1";"42,3"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" "
"Dal punto di vista economico";"7,7";"8,6";"6,9"
"Nella posizione lavorativa";"15,2";"14,6";"15,7"
"Nelle mansioni svolte";"11,0";"11,1";"10,9"
"Nelle competenze professionali";"65,4";"65,5";"65,3"
"Sotto altri punti di vista";"0,8";"0,2";"1,3"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" "
"In misura elevata";"54,4";"57,3";"51,9"
"In misura ridotta";"34,4";"31,7";"36,8"
"Per niente";"11,1";"10,9";"11,2"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" "
"Molto adeguata";"64,1";"63,4";"64,6"
"Poco adeguata";"28,9";"28,5";"29,3"
"Per niente adeguata";"6,7";"7,6";"5,9"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" "
