"1. Popolazione analizzata"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Numero di laureati";"7642";"3351";"4291"
"Numero di intervistati";"3613";"1580";"2033"
"Tasso di risposta sul totale dei laureati ";"47,3";"47,2";"47,4"
"Tasso di risposta sui laureati contattabili ";"65,0";"64,9";"65,1"
"Genere (%)";" ";" ";" "
"Uomini";"43,8";"100,0";"-"
"Donne";"56,2";"-";"100,0"
"Età alla laurea (medie, in anni) ";"28,2";"28,1";"28,3"
"Voto di laurea (medie, in 110-mi) ";"108,4";"107,6";"109,0"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici) ";"2,6";"2,5";"2,6"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici) ";"1,8";"1,9";"1,6"
"Indice di ritardo (sui laureati in atenei non telematici) ";"0,28";"0,27";"0,29"
"Indice di ritardo (sui laureati in atenei telematici) ";"-0,09";"-0,06";"-0,22"
"2b. Formazione post-laurea"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"46,2";"46,0";"46,4"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" "
"Collaborazione volontaria";"5,1";"5,3";"5,0"
"Tirocinio/praticantato";"4,0";"3,5";"4,4"
"Dottorato di ricerca";"5,6";"6,7";"4,8"
"Scuola di specializzazione";"5,2";"4,7";"5,6"
"Master universitario di primo livello";"14,0";"12,4";"15,2"
"Master universitario di secondo livello";"7,3";"6,3";"8,1"
"Altro tipo di master";"8,1";"8,4";"7,8"
"Stage in azienda";"11,6";"12,0";"11,4"
"Corso di formazione professionale";"5,5";"6,6";"4,7"
"Attività sostenuta da borsa di studio";"4,6";"4,2";"5,0"
"3. Condizione occupazionale"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Tasso di occupazione ";" ";" ";" "
"Uomini";"90,4";"90,4";"-"
"Donne";"89,2";"-";"89,2"
"Totale";"89,7";"90,4";"89,2"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"85,1";"86,8";"83,8"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"0,4";"0,4";"0,5"
"Esperienze di lavoro post-laurea (%) ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"7,1";"6,4";"7,6"
"Non hanno mai lavorato dopo la laurea";"3,2";"3,2";"3,2"
"Tasso di disoccupazione ";"4,4";"4,0";"4,6"
"Ricerca del lavoro (%) ";" ";" ";" "
"Non lavorano e non cercano";"6,1";"6,0";"6,1"
"Non lavorano ma cercano";"4,2";"3,6";"4,6"
"4. Ingresso nel mercato del lavoro"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Numero di occupati";"3242";"1428";"1814"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"27,2";"23,9";"29,9"
"Non proseguono il lavoro iniziato prima della laurea";"25,1";"26,5";"24,0"
"Hanno iniziato a lavorare dopo la laurea";"47,7";"49,6";"46,1"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" ";" ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"2,0";"1,7";"2,2"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"5,0";"5,1";"4,9"
"Tempo dalla laurea al reperimento del primo lavoro";"7,1";"7,0";"7,2"
"5. Caratteristiche dell'attuale lavoro"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Professione svolta (%) ";" ";" ";" "
"Imprenditori e alta dirigenza";"3,5";"4,4";"2,8"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"37,5";"46,0";"30,8"
"Professioni tecniche";"53,5";"44,0";"60,9"
"Professioni esecutive nel lavoro d'ufficio";"1,6";"0,9";"2,2"
"Altre professioni ";"3,9";"4,7";"3,4"
"Tipologia dell'attività lavorativa (%)";" ";" ";" "
"Attività in proprio ";"12,1";"16,2";"8,8"
"Tempo indeterminato";"59,9";"53,3";"65,1"
"Tempo determinato";"19,4";"20,5";"18,6"
"Borsa o assegno di studio o di ricerca ";"3,7";"4,7";"2,9"
