"1. Popolazione analizzata"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Numero di laureati";"31849";"18911";"12938"
"Numero di intervistati";"15006";"8965";"6041"
"Tasso di risposta sul totale dei laureati ";"47,1";"47,4";"46,7"
"Tasso di risposta sui laureati contattabili ";"68,5";"68,8";"68,1"
"Genere (%)";" ";" ";" "
"Uomini";"59,4";"100,0";"-"
"Donne";"40,6";"-";"100,0"
"Età alla laurea (medie, in anni) ";"26,9";"27,0";"26,8"
"Voto di laurea (medie, in 110-mi) ";"107,7";"107,2";"108,5"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici) ";"2,9";"2,9";"2,8"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici) ";"2,0";"2,0";"2,1"
"Indice di ritardo (sui laureati in atenei non telematici) ";"0,44";"0,47";"0,40"
"Indice di ritardo (sui laureati in atenei telematici) ";"0,00";"0,00";"0,03"
"2b. Formazione post-laurea"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"54,8";"51,4";"60,0"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" "
"Collaborazione volontaria";"5,9";"5,0";"7,2"
"Tirocinio/praticantato";"4,3";"3,7";"5,1"
"Dottorato di ricerca";"16,6";"15,8";"17,9"
"Scuola di specializzazione";"2,5";"1,4";"4,0"
"Master universitario di primo livello";"3,6";"2,9";"4,8"
"Master universitario di secondo livello";"6,0";"5,2";"7,1"
"Altro tipo di master";"6,4";"5,8";"7,4"
"Stage in azienda";"23,2";"23,1";"23,3"
"Corso di formazione professionale";"2,1";"1,9";"2,4"
"Attività sostenuta da borsa di studio";"8,5";"6,8";"11,0"
"3. Condizione occupazionale"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Tasso di occupazione ";" ";" ";" "
"Uomini";"94,8";"94,8";"-"
"Donne";"91,0";"-";"91,0"
"Totale";"93,3";"94,8";"91,0"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"93,0";"94,7";"90,6"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"0,4";"0,3";"0,5"
"Esperienze di lavoro post-laurea (%) ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"4,5";"3,3";"6,3"
"Non hanno mai lavorato dopo la laurea";"2,2";"1,9";"2,7"
"Tasso di disoccupazione ";"2,3";"1,8";"3,1"
"Ricerca del lavoro (%) ";" ";" ";" "
"Non lavorano e non cercano";"4,0";"3,2";"5,3"
"Non lavorano ma cercano";"2,7";"2,0";"3,7"
"4. Ingresso nel mercato del lavoro"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Numero di occupati";"13997";"8500";"5497"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"6,5";"7,2";"5,3"
"Non proseguono il lavoro iniziato prima della laurea";"15,1";"15,6";"14,3"
"Hanno iniziato a lavorare dopo la laurea";"78,4";"77,1";"80,4"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" ";" ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"1,3";"1,2";"1,5"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"3,5";"3,1";"4,1"
"Tempo dalla laurea al reperimento del primo lavoro";"4,8";"4,3";"5,6"
"5. Caratteristiche dell'attuale lavoro"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Professione svolta (%) ";" ";" ";" "
"Imprenditori e alta dirigenza";"1,8";"2,1";"1,3"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"84,2";"85,3";"82,4"
"Professioni tecniche";"11,8";"10,9";"13,3"
"Professioni esecutive nel lavoro d'ufficio";"1,2";"0,8";"1,9"
"Altre professioni ";"1,0";"0,9";"1,0"
"Tipologia dell'attività lavorativa (%)";" ";" ";" "
"Attività in proprio ";"10,8";"9,9";"12,1"
"Tempo indeterminato";"64,9";"70,4";"56,5"
"Tempo determinato";"10,3";"7,8";"14,1"
"Borsa o assegno di studio o di ricerca ";"10,9";"9,3";"13,4"
"Contratti formativi ";"1,2";"0,9";"1,6"
"Altre forme contrattuali ";"1,6";"1,3";"1,9"
"Senza contratto";"0,2";"0,2";"0,2"
"Diffusione dello smart working (%) ";"45,2";"49,2";"38,9"
"Diffusione del part-time (%)";"2,6";"1,4";"4,4"
"Diffusione del part-time involontario (%) ";"1,4";"0,7";"2,4"
"Numero di ore settimanali di lavoro (medie) ";"39,8";"40,9";"38,2"
"6. Caratteristiche dell'impresa"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Settore di attività (%)";" ";" ";" "
"Pubblico";"25,6";"20,7";"33,2"
"Privato";"73,7";"78,6";"65,9"
"Non profit";"0,6";"0,5";"0,8"
"Ramo di attività economica (%)";" ";" ";" "
"Agricoltura";"0,5";"0,4";"0,5"
"Metalmeccanica e meccanica di precisione";"12,7";"16,6";"6,6"
"Edilizia ";"8,4";"9,4";"6,8"
"Chimica/Energia ";"12,8";"12,1";"13,9"
"Altra industria manifatturiera ";"7,0";"8,0";"5,5"
"Totale industria";"40,9";"46,0";"32,8"
"Commercio ";"2,0";"2,0";"2,1"
"Credito, assicurazioni";"2,2";"2,2";"2,1"
"Trasporti, pubblicità, comunicazioni ";"4,1";"4,5";"3,4"
"Consulenze varie ";"11,0";"10,4";"12,0"
"Informatica";"8,5";"10,3";"5,6"
"Altri servizi alle imprese";"1,4";"1,4";"1,5"
"Pubblica amministrazione, forze armate";"2,7";"2,7";"2,8"
"Istruzione e ricerca ";"21,5";"17,3";"28,0"
"Sanità";"4,3";"2,0";"7,7"
"Altri servizi ";"0,6";"0,5";"0,9"
"Totale servizi";"58,3";"53,2";"66,1"
"Ripartizione geografica di lavoro (%)";" ";" ";" "
"Nord-Ovest";"29,1";"29,3";"28,9"
"Nord-Est";"21,3";"22,7";"19,1"
"Centro";"21,5";"20,9";"22,4"
"Sud";"14,2";"12,9";"16,2"
"Isole";"4,9";"4,6";"5,5"
"Estero";"8,8";"9,4";"7,8"
"7. Retribuzione"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" "
"Uomini";"2109";"2109";"-"
"Donne";"1837";"-";"1837"
"Totale";"2001";"2109";"1837"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"1979";"2083";"1825"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"65,5";"68,6";"58,8"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" "
"Dal punto di vista economico";"14,7";"13,5";"17,6"
"Nella posizione lavorativa";"36,1";"37,4";"32,9"
"Nelle mansioni svolte";"11,3";"10,0";"14,7"
"Nelle competenze professionali";"37,8";"39,1";"34,7"
"Sotto altri punti di vista";"-";"-";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" "
"In misura elevata";"63,2";"63,9";"62,1"
"In misura ridotta";"32,5";"32,3";"32,7"
"Per niente";"4,2";"3,7";"5,0"
"Adeguatezza della formazione professionale acquisita all'università (%)";" ";" ";" "
"Molto adeguata";"73,5";"74,8";"71,5"
"Poco adeguata";"23,1";"22,1";"24,6"
"Per niente adeguata";"3,2";"3,0";"3,7"
"Richiesta della laurea per l'attività lavorativa (%)";" ";" ";" "
"Richiesta per legge";"47,8";"42,6";"56,0"
"Non richiesta ma necessaria";"29,2";"32,2";"24,7"
"Non richiesta ma utile";"20,3";"22,8";"16,5"
"Non richiesta né utile";"2,5";"2,4";"2,6"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Collettivo selezionato (1) ";"Uomini(1) ";"Donne(1) "
"Efficacia della laurea nel lavoro svolto (%) ";" ";" ";" "
"Molto efficace/Efficace";"74,2";"72,8";"76,6"
"Abbastanza efficace";"22,1";"23,7";"19,5"
"Poco/Per nulla efficace";"3,7";"3,6";"3,9"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,9";"7,9";"7,9"
"Occupati che cercano lavoro (%)";"16,1";"16,1";"16,2"
