"1. Popolazione analizzata"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Numero di laureati";"35139";"32703";"29930"
"Numero di intervistati";"23140";"19293";"13880"
"Tasso di risposta sul totale dei laureati ";"65,9";"59,0";"46,4"
"Tasso di risposta sui laureati contattabili ";"70,3";"66,0";"64,9"
"Genere (%)";" ";" ";" ";" "
"Uomini";"36,9";"38,6";"39,7"
"Donne";"63,1";"61,4";"60,3"
"Età alla laurea (medie, in anni) ";"27,1";"27,1";"27,2"
"Voto di laurea (medie, in 110-mi) ";"106,8";"107,3";"107,2"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici) ";"2,7";"2,7";"2,7"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici) ";"1,8";"1,7";"1,8"
"Indice di ritardo (sui laureati in atenei non telematici) ";"0,33";"0,33";"0,34"
"Indice di ritardo (sui laureati in atenei telematici) ";"-0,12";"-0,14";"-0,11"
"2b. Formazione post-laurea"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"56,7";"61,9";"64,7"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" ";" "
"Collaborazione volontaria";"4,5";"5,1";"5,9"
"Tirocinio/praticantato";"19,2";"20,0";"22,2"
"Dottorato di ricerca";"2,3";"3,7";"3,7"
"Scuola di specializzazione";"3,3";"8,8";"11,7"
"Master universitario di primo livello";"4,5";"7,1";"8,3"
"Master universitario di secondo livello";"4,9";"7,6";"9,7"
"Altro tipo di master";"5,8";"8,4";"11,0"
"Stage in azienda";"27,8";"30,4";"30,0"
"Corso di formazione professionale";"2,1";"2,9";"3,7"
"Attività sostenuta da borsa di studio";"2,0";"2,5";"3,1"
"3. Condizione occupazionale"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Tasso di occupazione ";" ";" ";" ";" "
"Uomini";"81,6";"90,9";"90,9"
"Donne";"75,0";"88,2";"88,2"
"Totale";"77,5";"89,3";"89,3"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"70,9";"87,3";"87,4"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"3,4";"1,0";"0,7"
"Esperienze di lavoro post-laurea (%) ";" ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"9,9";"7,0";"6,9"
"Non hanno mai lavorato dopo la laurea";"12,6";"3,8";"3,8"
"Tasso di disoccupazione ";"11,9";"5,1";"4,2"
"Ricerca del lavoro (%) ";" ";" ";" ";" "
"Non lavorano e non cercano";"9,2";"4,8";"6,2"
"Non lavorano ma cercano";"13,3";"6,0";"4,6"
"4. Ingresso nel mercato del lavoro"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Numero di occupati";"17933";"17223";"12393"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"27,1";"14,0";"11,2"
"Non proseguono il lavoro iniziato prima della laurea";"19,2";"22,4";"22,7"
"Hanno iniziato a lavorare dopo la laurea";"53,6";"63,5";"66,1"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" ";" ";" ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,9";"1,8";"2,4"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"2,6";"3,8";"5,0"
"Tempo dalla laurea al reperimento del primo lavoro";"3,5";"5,7";"7,4"
"5. Caratteristiche dell'attuale lavoro"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Professione svolta (%) ";" ";" ";" ";" "
"Imprenditori e alta dirigenza";"1,3";"1,4";"3,0"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"35,9";"44,2";"56,9"
"Professioni tecniche";"41,1";"34,8";"27,5"
"Professioni esecutive nel lavoro d'ufficio";"16,8";"16,1";"10,0"
"Altre professioni ";"4,9";"3,4";"2,5"
"Tipologia dell'attività lavorativa (%)";" ";" ";" ";" "
"Attività in proprio ";"6,7";"12,2";"16,5"
"Tempo indeterminato";"31,8";"54,5";"64,7"
"Tempo determinato";"23,2";"14,4";"10,1"
"Borsa o assegno di studio o di ricerca ";"4,2";"4,4";"3,1"
"Contratti formativi ";"27,9";"10,9";"2,9"
"Altre forme contrattuali ";"5,3";"3,3";"2,4"
"Senza contratto";"0,8";"0,3";"0,2"
"Diffusione dello smart working (%) ";"42,4";"45,0";"45,6"
