"1. Popolazione analizzata"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Numero di laureati";"37328";"35254";"31849"
"Numero di intervistati";"24719";"22280";"15006"
"Tasso di risposta sul totale dei laureati ";"66,2";"63,2";"47,1"
"Tasso di risposta sui laureati contattabili ";"70,7";"70,7";"68,5"
"Genere (%)";" ";" ";" ";" "
"Uomini";"57,9";"59,4";"59,4"
"Donne";"42,1";"40,6";"40,6"
"Età alla laurea (medie, in anni) ";"26,7";"26,7";"26,9"
"Voto di laurea (medie, in 110-mi) ";"107,3";"107,9";"107,7"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici) ";"2,8";"2,8";"2,9"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici) ";"1,9";"1,8";"2,0"
"Indice di ritardo (sui laureati in atenei non telematici) ";"0,41";"0,42";"0,44"
"Indice di ritardo (sui laureati in atenei telematici) ";"-0,05";"-0,08";"0,00"
"2b. Formazione post-laurea"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"45,4";"53,3";"54,8"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" ";" "
"Collaborazione volontaria";"5,0";"5,3";"5,9"
"Tirocinio/praticantato";"2,8";"3,2";"4,3"
"Dottorato di ricerca";"14,6";"19,1";"16,6"
"Scuola di specializzazione";"1,1";"1,8";"2,5"
"Master universitario di primo livello";"2,3";"3,1";"3,6"
"Master universitario di secondo livello";"3,2";"4,4";"6,0"
"Altro tipo di master";"2,9";"4,3";"6,4"
"Stage in azienda";"17,1";"21,1";"23,2"
"Corso di formazione professionale";"1,4";"2,0";"2,1"
"Attività sostenuta da borsa di studio";"7,5";"8,1";"8,5"
"3. Condizione occupazionale"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Tasso di occupazione ";" ";" ";" ";" "
"Uomini";"90,4";"95,0";"94,8"
"Donne";"85,0";"92,1";"91,0"
"Totale";"88,1";"93,8";"93,3"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"86,7";"93,4";"93,0"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"0,8";"0,4";"0,4"
"Esperienze di lavoro post-laurea (%) ";" ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"5,7";"4,1";"4,5"
"Non hanno mai lavorato dopo la laurea";"6,2";"2,1";"2,2"
"Tasso di disoccupazione ";"6,2";"2,3";"2,3"
"Ricerca del lavoro (%) ";" ";" ";" ";" "
"Non lavorano e non cercano";"4,6";"3,2";"4,0"
"Non lavorano ma cercano";"7,2";"3,0";"2,7"
"4. Ingresso nel mercato del lavoro"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Numero di occupati";"21788";"20902";"13997"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"15,4";"8,7";"6,5"
"Non proseguono il lavoro iniziato prima della laurea";"13,7";"15,1";"15,1"
"Hanno iniziato a lavorare dopo la laurea";"70,9";"76,2";"78,4"
