"1. Popolazione analizzata"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Numero di laureati";"10342";"9382";"7642"
"Numero di intervistati";"6539";"5479";"3613"
"Tasso di risposta sul totale dei laureati ";"63,2";"58,4";"47,3"
"Tasso di risposta sui laureati contattabili ";"66,5";"63,8";"65,0"
"Genere (%)";" ";" ";" ";" "
"Uomini";"46,4";"45,9";"43,8"
"Donne";"53,6";"54,1";"56,2"
"Età alla laurea (medie, in anni) ";"29,1";"28,2";"28,2"
"Voto di laurea (medie, in 110-mi) ";"107,4";"108,2";"108,4"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici) ";"2,6";"2,5";"2,6"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici) ";"1,7";"1,8";"1,8"
"Indice di ritardo (sui laureati in atenei non telematici) ";"0,32";"0,27";"0,28"
"Indice di ritardo (sui laureati in atenei telematici) ";"-0,17";"-0,11";"-0,09"
"2b. Formazione post-laurea"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"32,1";"42,3";"46,2"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" ";" ";" ";" "
"Collaborazione volontaria";"5,1";"5,7";"5,1"
"Tirocinio/praticantato";"2,8";"3,5";"4,0"
"Dottorato di ricerca";"3,1";"6,4";"5,6"
"Scuola di specializzazione";"2,9";"5,3";"5,2"
"Master universitario di primo livello";"6,5";"10,5";"14,0"
"Master universitario di secondo livello";"3,6";"5,2";"7,3"
"Altro tipo di master";"4,3";"6,4";"8,1"
"Stage in azienda";"9,0";"10,9";"11,6"
"Corso di formazione professionale";"3,6";"4,3";"5,5"
"Attività sostenuta da borsa di studio";"3,3";"4,8";"4,6"
"3. Condizione occupazionale"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Tasso di occupazione ";" ";" ";" ";" "
"Uomini";"83,4";"91,6";"90,4"
"Donne";"83,9";"89,1";"89,2"
"Totale";"83,7";"90,3";"89,7"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"72,7";"86,1";"85,1"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"0,6";"0,4";"0,4"
"Esperienze di lavoro post-laurea (%) ";" ";" ";" ";" "
"Non lavorano ma hanno lavorato dopo la laurea";"8,3";"6,4";"7,1"
"Non hanno mai lavorato dopo la laurea";"8,0";"3,3";"3,2"
"Tasso di disoccupazione ";"9,0";"4,3";"4,4"
"Ricerca del lavoro (%) ";" ";" ";" ";" "
"Non lavorano e non cercano";"5,8";"4,8";"6,1"
"Non lavorano ma cercano";"10,5";"4,9";"4,2"
"4. Ingresso nel mercato del lavoro"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Numero di occupati";"5470";"4947";"3242"
"Occupati: condizione occupazionale alla laurea (%)";" ";" ";" ";" "
"Proseguono il lavoro iniziato prima della laurea";"47,3";"29,4";"27,2"
"Non proseguono il lavoro iniziato prima della laurea";"17,1";"23,0";"25,1"
"Hanno iniziato a lavorare dopo la laurea";"35,6";"47,5";"47,7"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" ";" ";" ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,8";"1,5";"2,0"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"2,8";"4,2";"5,0"
"Tempo dalla laurea al reperimento del primo lavoro";"3,6";"5,7";"7,1"
"5. Caratteristiche dell'attuale lavoro"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Professione svolta (%) ";" ";" ";" ";" "
"Imprenditori e alta dirigenza";"1,6";"1,8";"3,5"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"23,8";"35,5";"37,5"
"Professioni tecniche";"66,9";"55,1";"53,5"
"Professioni esecutive nel lavoro d'ufficio";"3,6";"4,3";"1,6"
"Altre professioni ";"4,2";"3,3";"3,9"
"Tipologia dell'attività lavorativa (%)";" ";" ";" ";" "
"Attività in proprio ";"13,0";"13,4";"12,1"
"Tempo indeterminato";"38,4";"44,7";"59,9"
"Tempo determinato";"25,6";"24,5";"19,4"
"Borsa o assegno di studio o di ricerca ";"6,7";"7,5";"3,7"
"Contratti formativi ";"4,9";"3,9";"1,5"
"Altre forme contrattuali ";"10,5";"5,6";"2,9"
"Senza contratto";"0,6";"0,3";"0,4"
"Diffusione dello smart working (%) ";"8,5";"11,3";"9,8"
"Diffusione del part-time (%)";"20,7";"14,2";"9,8"
"Diffusione del part-time involontario (%) ";"13,2";"10,1";"5,9"
"Numero di ore settimanali di lavoro (medie) ";"34,5";"34,7";"34,3"
"6. Caratteristiche dell'impresa"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Settore di attività (%)";" ";" ";" ";" "
"Pubblico";"42,2";"47,5";"54,8"
"Privato";"51,6";"46,6";"40,0"
"Non profit";"6,0";"5,8";"5,1"
"Ramo di attività economica (%)";" ";" ";" ";" "
"Agricoltura";"7,5";"8,2";"7,7"
"Metalmeccanica e meccanica di precisione";"0,5";"0,6";"0,5"
"Edilizia ";"0,5";"0,4";"0,2"
"Chimica/Energia ";"1,1";"1,4";"1,3"
"Altra industria manifatturiera ";"5,6";"6,9";"7,6"
"Totale industria";"7,7";"9,4";"9,6"
"Commercio ";"3,4";"3,2";"2,7"
"Credito, assicurazioni";"0,2";"0,4";"0,3"
"Trasporti, pubblicità, comunicazioni ";"1,0";"1,1";"0,9"
"Consulenze varie ";"4,3";"4,7";"4,5"
"Informatica";"0,3";"0,3";"0,4"
"Altri servizi alle imprese";"0,7";"1,2";"1,0"
"Pubblica amministrazione, forze armate";"3,1";"4,8";"5,8"
"Istruzione e ricerca ";"15,9";"24,6";"26,2"
"Sanità";"30,9";"23,2";"27,2"
"Altri servizi ";"24,8";"18,5";"13,4"
"Totale servizi";"84,5";"82,0";"82,3"
"Ripartizione geografica di lavoro (%)";" ";" ";" ";" "
"Nord-Ovest";"20,7";"22,1";"24,9"
"Nord-Est";"23,2";"24,7";"23,1"
"Centro";"22,5";"21,3";"21,6"
"Sud";"22,7";"19,7";"18,7"
"Isole";"9,2";"10,8";"9,6"
"Estero";"1,5";"1,3";"2,1"
"7. Retribuzione"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Retribuzione mensile netta (medie, in euro) ";" ";" ";" ";" "
"Uomini";"1441";"1573";"1738"
"Donne";"1460";"1508";"1617"
"Totale";"1451";"1538";"1670"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"1338";"1462";"1612"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Laureati 2023 a 1 anno";"Laureati 2021 a 3 anni";"Laureati 2019 a 5 anni(1) "
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"44,8";"49,0";"55,3"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" ";" ";" ";" "
"Dal punto di vista economico";"7,7";"7,8";"7,6"
"Nella posizione lavorativa";"15,2";"21,8";"21,9"
"Nelle mansioni svolte";"11,0";"13,4";"13,5"
"Nelle competenze professionali";"65,4";"56,6";"56,6"
"Sotto altri punti di vista";"0,8";"0,3";"0,4"
"Utilizzo delle competenze acquisite con la laurea (%)";" ";" ";" ";" "
"In misura elevata";"54,4";"55,5";"55,5"
"In misura ridotta";"34,4";"34,5";"34,9"
"Per niente";"11,1";"9,8";"9,5"
