"1. Popolazione analizzata"
"";"Collettivo selezionato";"Uomini";"Donne"
"Numero di laureati";"37328";"21627";"15701"
"Numero di intervistati";"24719";"14330";"10389"
"Tasso di risposta sul totale dei laureati";"66,2";"66,3";"66,2"
"Tasso di risposta sui laureati contattabili";"70,7";"70,9";"70,3"
"Genere (%)";"";"";""
"Uomini";"57,9";"100,0";"-"
"Donne";"42,1";"-";"100,0"
"Eta' alla laurea (medie, in anni)";"26,7";"26,8";"26,6"
"Voto di laurea (medie, in 110-mi)";"107,3";"106,7";"108,2"
"Durata degli studi (medie, in anni; sui laureati in atenei non telematici)";"2,8";"2,9";"2,7"
"Durata degli studi (medie, in anni; sui laureati in atenei telematici)";"1,9";"1,9";"1,8"
"Indice di ritardo (sui laureati in atenei non telematici)";"0,41";"0,44";"0,37"
"Indice di ritardo (sui laureati in atenei telematici)";"-0,05";"-0,03";"-0,12"
"2b. Formazione post-laurea"
"";"Collettivo selezionato";"Uomini";"Donne"
"Hanno partecipato ad almeno un'attivita' di formazione post-laurea (%)";"45,4";"40,5";"52,1"
"Attivita' di formazione post-laurea: conclusa/in corso (% per attivita')";"";"";""
"Collaborazione volontaria";"5,0";"4,0";"6,5"
"Tirocinio/praticantato";"2,8";"2,2";"3,6"
"Dottorato di ricerca";"14,6";"13,9";"15,6"
"Scuola di specializzazione";"1,1";"0,8";"1,6"
"Master universitario di primo livello";"2,3";"1,9";"2,9"
"Master universitario di secondo livello";"3,2";"2,7";"3,9"
"Altro tipo di master";"2,9";"2,4";"3,6"
"Stage in azienda";"17,1";"15,9";"18,7"
"Corso di formazione professionale";"1,4";"1,2";"1,6"
"Attivita' sostenuta da borsa di studio";"7,5";"5,8";"9,9"
"3. Condizione occupazionale"
"";"Collettivo selezionato";"Uomini";"Donne"
"Tasso di occupazione";"";"";""
"Uomini";"90,4";"90,4";"-"
"Donne";"85,0";"-";"85,0"
"Totale";"88,1";"90,4";"85,0"
"Laureati che non lavoravano alla laurea: tasso di occupazione";"86,7";"89,4";"83,3"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)";"0,8";"0,7";"1,1"
"Esperienze di lavoro post-laurea (%)";"";"";""
"Non lavorano ma hanno lavorato dopo la laurea";"5,7";"5,0";"6,7"
"Non hanno mai lavorato dopo la laurea";"6,2";"4,6";"8,3"
"Ricerca del lavoro (%)";"";"";""
"Non lavorano e non cercano";"4,6";"3,9";"5,7"
"Non lavorano ma cercano";"7,2";"5,7";"9,3"
"Tasso di disoccupazione";"6,2";"4,9";"8,0"
"4. Ingresso nel mercato del lavoro"
"";"Collettivo selezionato";"Uomini";"Donne"
"Numero di occupati";"21788";"12954";"8834"
"Occupati: condizione occupazionale alla laurea (%)";"";"";""
"Proseguono il lavoro iniziato prima della laurea";"15,4";"16,6";"13,5"
"Non proseguono il lavoro iniziato prima della laurea";"13,7";"14,0";"13,3"
"Hanno iniziato a lavorare dopo la laurea";"70,9";"69,4";"73,2"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)";"";"";""
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,6";"0,5";"0,7"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"2,1";"1,9";"2,4"
"Tempo dalla laurea al reperimento del primo lavoro";"2,7";"2,4";"3,1"
"5. Caratteristiche dell'attuale lavoro"
"";"Collettivo selezionato";"Uomini";"Donne"
"Professione svolta (%)";"";"";""
"Imprenditori e alta dirigenza";"0,5";"0,7";"0,2"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"80,7";"82,2";"78,5"
"Professioni tecniche";"15,0";"14,1";"16,2"
"Professioni esecutive nel lavoro d'ufficio";"2,5";"2,0";"3,3"
"Altre professioni";"1,4";"1,1";"1,8"
"Tipologia dell'attivita' lavorativa (%)";"";"";""
"Attivita' in proprio";"5,9";"5,2";"6,8"
"Tempo indeterminato";"36,5";"42,8";"27,1"
"Tempo determinato";"14,7";"13,1";"17,0"
"Borsa o assegno di studio o di ricerca";"23,4";"20,1";"28,2"
"Contratti formativi";"16,3";"16,2";"16,5"
"Altre forme contrattuali";"2,9";"2,3";"3,7"
"Senza contratto";"0,3";"0,2";"0,5"
"Diffusione dello smart working (%)";"43,9";"48,4";"37,3"
"Diffusione del part-time (%)";"4,7";"2,8";"7,4"
"Diffusione del part-time involontario (%)";"2,9";"1,7";"4,7"
"Numero di ore settimanali di lavoro (medie)";"39,9";"40,7";"38,8"
"6. Caratteristiche dell'impresa"
"";"Collettivo selezionato";"Uomini";"Donne"
"Settore di attivita' (%)";"";"";""
"Pubblico";"28,2";"24,4";"33,9"
"Privato";"70,9";"75,0";"64,8"
"Non profit";"0,8";"0,5";"1,3"
"Ramo di attivita' economica (%)";"";"";""
"Agricoltura";"0,5";"0,5";"0,6"
"Metalmeccanica e meccanica di precisione";"13,4";"17,4";"7,5"
"Edilizia";"7,0";"7,8";"5,9"
"Chimica/Energia";"10,6";"9,7";"11,9"
"Altra industria manifatturiera";"5,8";"6,8";"4,5"
"Totale industria";"36,8";"41,6";"29,8"
"Commercio";"2,6";"2,0";"3,4"
"Credito, assicurazioni";"1,5";"1,7";"1,2"
"Trasporti, pubblicita', comunicazioni";"2,7";"2,9";"2,3"
"Consulenze varie";"12,1";"11,6";"12,9"
"Informatica";"9,9";"12,1";"6,7"
"Altri servizi alle imprese";"1,8";"1,7";"1,8"
"Pubblica amministrazione, forze armate";"1,3";"1,4";"1,3"
"Istruzione e ricerca";"25,6";"21,9";"30,9"
"Sanita'";"3,9";"1,8";"6,9"
"Altri servizi";"1,0";"0,6";"1,6"
"Totale servizi";"62,3";"57,7";"69,0"
"Ripartizione geografica di lavoro (%)";"";"";""
"Nord-Ovest";"30,6";"30,9";"30,0"
"Nord-Est";"22,5";"23,8";"20,5"
"Centro";"21,5";"20,5";"22,9"
"Sud";"14,2";"13,4";"15,4"
"Isole";"4,6";"4,4";"4,9"
"Estero";"6,5";"6,8";"6,1"
"7. Retribuzione"
"";"Collettivo selezionato";"Uomini";"Donne"
"Retribuzione mensile netta (medie, in euro)";"";"";""
"Uomini";"1709";"1709";"-"
"Donne";"1512";"-";"1512"
"Totale";"1629";"1709";"1512"
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)";"1590";"1663";"1488"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";"Collettivo selezionato";"Uomini";"Donne"
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"55,4";"57,5";"51,7"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";"";"";""
"Dal punto di vista economico";"22,5";"23,0";"21,6"
"Nella posizione lavorativa";"33,2";"33,8";"32,1"
"Nelle mansioni svolte";"9,4";"9,5";"9,2"
"Nelle competenze professionali";"34,4";"33,5";"36,3"
"Sotto altri punti di vista";"0,4";"0,2";"0,6"
"Utilizzo delle competenze acquisite con la laurea (%)";"";"";""
"In misura elevata";"65,5";"66,1";"64,7"
"In misura ridotta";"29,8";"30,1";"29,4"
"Per niente";"4,6";"3,8";"5,7"
"Adeguatezza della formazione professionale acquisita all'universita' (%)";"";"";""
"Molto adeguata";"74,1";"75,6";"71,9"
"Poco adeguata";"22,5";"21,7";"23,8"
"Per niente adeguata";"3,3";"2,7";"4,1"
"Richiesta della laurea per l'attivita' lavorativa (%)";"";"";""
"Richiesta per legge";"44,7";"40,5";"50,9"
"Non richiesta ma necessaria";"28,8";"31,4";"25,1"
"Non richiesta ma utile";"22,8";"24,9";"19,8"
"Non richiesta ne' utile";"3,5";"3,1";"4,1"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";"Collettivo selezionato";"Uomini";"Donne"
"Efficacia della laurea nel lavoro svolto (%)";"";"";""
"Molto efficace/Efficace";"73,4";"72,7";"74,5"
"Abbastanza efficace";"21,8";"23,2";"19,7"
"Poco/Per nulla efficace";"4,7";"4,1";"5,7"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,8";"7,9";"7,8"
"Occupati che cercano lavoro (%)";"19,3";"18,1";"21,0"
