AteneoREGIONE;Totale_STEM;F;M;Percentuale_Donne_STEM;Percentuale_Uomini_STEM
Abruzzo;1492;705;787;47.25;52.75
Sardegna;1923;898;1025;46.7;53.3
Umbria;1731;802;929;46.33;53.67
Basilicata;292;134;158;45.89;54.11
Marche;2926;1315;1611;44.94;55.06
Molise;223;96;127;43.05;56.95
Toscana;6499;2694;3805;41.45;58.55
Emilia Romagna;10273;4228;6045;41.16;58.84
Sicilia;6658;2626;4032;39.44;60.56
Campania;11781;4579;7202;38.87;61.13
Piemonte;9016;3484;5532;38.64;61.36
Calabria;2380;913;1467;38.36;61.64
Liguria;1963;735;1228;37.44;62.56
Puglia;5093;1836;3257;36.05;63.95
Lombardia;17764;6239;11525;35.12;64.88
Friuli Venezia Giulia;1836;644;1192;35.08;64.92
Lazio;13138;4573;8565;34.81;65.19
Veneto;6759;2350;4409;34.77;65.23
Trentino Alto Adige;1125;257;868;22.84;77.16
