ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;ClasseGENERE;N_ClasseGENERE
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;01;Education;Prev_F;1
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;02;Arts and humanities;Neutri;1
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;02;Arts and humanities;Prev_F;9
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;02;Arts and humanities;Prev_M;2
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;03;Social sciences, journalism and information;Neutri;6
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;03;Social sciences, journalism and information;Prev_F;5
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;03;Social sciences, journalism and information;Prev_M;1
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;04;Business, administration and law;Neutri;3
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;04;Business, administration and law;Prev_F;1
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;05;Natural sciences, mathematics and statistics;Neutri;4
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;05;Natural sciences, mathematics and statistics;Prev_F;5
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;05;Natural sciences, mathematics and statistics;Prev_M;7
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;06;Information and Communication Technologies (ICTs);Prev_M;1
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;07;Engineering, manufacturing and construction;Neutri;4
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;07;Engineering, manufacturing and construction;Prev_F;1
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;07;Engineering, manufacturing and construction;Prev_M;5
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;08;Agriculture, forestry, fisheries and veterinary;Neutri;2
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;08;Agriculture, forestry, fisheries and veterinary;Prev_F;2
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;08;Agriculture, forestry, fisheries and veterinary;Prev_M;2
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;09;Health and welfare;Neutri;1
