ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;IMM
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;01;Education;F;15713
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;01;Education;M;1116
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;02;Arts and humanities;F;30504
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;02;Arts and humanities;M;12794
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;03;Social sciences, journalism and information;F;36218
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;03;Social sciences, journalism and information;M;21157
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;04;Business, administration and law;F;22562
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;04;Business, administration and law;M;27465
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;05;Natural sciences, mathematics and statistics;F;19964
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;05;Natural sciences, mathematics and statistics;M;14075
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;06;Information and Communication Technologies (ICTs);F;1519
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;06;Information and Communication Technologies (ICTs);M;8620
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;07;Engineering, manufacturing and construction;F;15694
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;07;Engineering, manufacturing and construction;M;40045
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;08;Agriculture, forestry, fisheries and veterinary;F;3076
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;08;Agriculture, forestry, fisheries and veterinary;M;3237
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;09;Health and welfare;F;17421
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;09;Health and welfare;M;5873
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;10;Services;F;5781
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;10;Services;M;12613
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;01;Education;F;4544
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;01;Education;M;242
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;02;Arts and humanities;F;66
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;02;Arts and humanities;M;11
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;12419
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;5388
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;07;Engineering, manufacturing and construction;F;1931
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;07;Engineering, manufacturing and construction;M;1024
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;08;Agriculture, forestry, fisheries and veterinary;F;441
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;08;Agriculture, forestry, fisheries and veterinary;M;121
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;09;Health and welfare;F;12842
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;09;Health and welfare;M;6136
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;01;Education;F;466
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;01;Education;M;28
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;F;1554
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;M;675
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;03;Social sciences, journalism and information;F;2079
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;03;Social sciences, journalism and information;M;1276
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;F;1105
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;M;970
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;F;814
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;M;691
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;06;Information and Communication Technologies (ICTs);F;71
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;06;Information and Communication Technologies (ICTs);M;482
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;08;Agriculture, forestry, fisheries and veterinary;F;195
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;08;Agriculture, forestry, fisheries and veterinary;M;210
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;09;Health and welfare;F;787
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;09;Health and welfare;M;194
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;10;Services;F;288
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;10;Services;M;422
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;01;Education;F;85
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;01;Education;M;16
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;02;Arts and humanities;F;17
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;02;Arts and humanities;M;1
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;560
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;203
2024/2025;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea Magistrale Ciclo Unico;08;Agriculture, forestry, fisheries and veterinary;F;59
