ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;ISC
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;01;Education;F;69434
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;01;Education;M;5698
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;02;Arts and humanities;F;131919
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;02;Arts and humanities;M;56350
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;03;Social sciences, journalism and information;F;147820
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;03;Social sciences, journalism and information;M;85836
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;04;Business, administration and law;F;91669
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;04;Business, administration and law;M;109634
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;05;Natural sciences, mathematics and statistics;F;60650
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;05;Natural sciences, mathematics and statistics;M;48066
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;06;Information and Communication Technologies (ICTs);F;6103
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;06;Information and Communication Technologies (ICTs);M;34830
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;07;Engineering, manufacturing and construction;F;55815
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;07;Engineering, manufacturing and construction;M;153153
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;08;Agriculture, forestry, fisheries and veterinary;F;12206
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;08;Agriculture, forestry, fisheries and veterinary;M;13317
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;09;Health and welfare;F;77913
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;09;Health and welfare;M;27812
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;10;Services;F;23351
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea;10;Services;M;46217
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;01;Education;F;17198
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;01;Education;M;1604
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;02;Arts and humanities;F;50648
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;02;Arts and humanities;M;18649
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;03;Social sciences, journalism and information;F;60356
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;03;Social sciences, journalism and information;M;27442
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;04;Business, administration and law;F;25805
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;04;Business, administration and law;M;24750
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;05;Natural sciences, mathematics and statistics;F;29785
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;05;Natural sciences, mathematics and statistics;M;21243
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;2624
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;7703
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;07;Engineering, manufacturing and construction;F;29804
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;07;Engineering, manufacturing and construction;M;65287
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;F;3024
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;M;3916
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;09;Health and welfare;F;14160
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;09;Health and welfare;M;9098
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;10;Services;F;6300
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale;10;Services;M;8205
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;01;Education;F;42866
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;01;Education;M;2628
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;02;Arts and humanities;F;971
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;02;Arts and humanities;M;191
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;03;Social sciences, journalism and information;F;463
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;03;Social sciences, journalism and information;M;175
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;69619
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;36195
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;05;Natural sciences, mathematics and statistics;F;82
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;05;Natural sciences, mathematics and statistics;M;66
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;06;Information and Communication Technologies (ICTs);F;79
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;06;Information and Communication Technologies (ICTs);M;476
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;07;Engineering, manufacturing and construction;F;10687
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;07;Engineering, manufacturing and construction;M;6532
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;08;Agriculture, forestry, fisheries and veterinary;F;4919
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;08;Agriculture, forestry, fisheries and veterinary;M;1474
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;09;Health and welfare;F;97623
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;09;Health and welfare;M;53706
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;10;Services;F;36
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Laurea Magistrale Ciclo Unico;10;Services;M;9
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;01;Education;F;803
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;01;Education;M;49
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;02;Arts and humanities;F;1910
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;02;Arts and humanities;M;514
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;03;Social sciences, journalism and information;F;772
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;03;Social sciences, journalism and information;M;426
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;04;Business, administration and law;F;2526
2024/2025;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Vecchio Ordinamento;04;Business, administration and law;M;1572
