ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;LAU
2024;TTTTT;TOTALE ATENEI;14942;ITALIA;Laurea;01;Education;F;14942
2024;TTTTT;TOTALE ATENEI;1109;ITALIA;Laurea;01;Education;M;1109
2024;TTTTT;TOTALE ATENEI;24808;ITALIA;Laurea;02;Arts and humanities;F;24808
2024;TTTTT;TOTALE ATENEI;8719;ITALIA;Laurea;02;Arts and humanities;M;8719
2024;TTTTT;TOTALE ATENEI;29234;ITALIA;Laurea;03;Social sciences, journalism and information;F;29234
2024;TTTTT;TOTALE ATENEI;15731;ITALIA;Laurea;03;Social sciences, journalism and information;M;15731
2024;TTTTT;TOTALE ATENEI;18194;ITALIA;Laurea;04;Business, administration and law;F;18194
2024;TTTTT;TOTALE ATENEI;22335;ITALIA;Laurea;04;Business, administration and law;M;22335
2024;TTTTT;TOTALE ATENEI;10013;ITALIA;Laurea;05;Natural sciences, mathematics and statistics;F;10013
2024;TTTTT;TOTALE ATENEI;7412;ITALIA;Laurea;05;Natural sciences, mathematics and statistics;M;7412
2024;TTTTT;TOTALE ATENEI;644;ITALIA;Laurea;06;Information and Communication Technologies (ICTs);F;644
2024;TTTTT;TOTALE ATENEI;3854;ITALIA;Laurea;06;Information and Communication Technologies (ICTs);M;3854
2024;TTTTT;TOTALE ATENEI;9546;ITALIA;Laurea;07;Engineering, manufacturing and construction;F;9546
2024;TTTTT;TOTALE ATENEI;24904;ITALIA;Laurea;07;Engineering, manufacturing and construction;M;24904
2024;TTTTT;TOTALE ATENEI;2160;ITALIA;Laurea;08;Agriculture, forestry, fisheries and veterinary;F;2160
2024;TTTTT;TOTALE ATENEI;2456;ITALIA;Laurea;08;Agriculture, forestry, fisheries and veterinary;M;2456
2024;TTTTT;TOTALE ATENEI;17397;ITALIA;Laurea;09;Health and welfare;F;17397
2024;TTTTT;TOTALE ATENEI;5734;ITALIA;Laurea;09;Health and welfare;M;5734
2024;TTTTT;TOTALE ATENEI;5253;ITALIA;Laurea;10;Services;F;5253
2024;TTTTT;TOTALE ATENEI;8889;ITALIA;Laurea;10;Services;M;8889
2024;TTTTT;TOTALE ATENEI;5768;ITALIA;Laurea Magistrale;01;Education;F;5768
2024;TTTTT;TOTALE ATENEI;544;ITALIA;Laurea Magistrale;01;Education;M;544
2024;TTTTT;TOTALE ATENEI;18536;ITALIA;Laurea Magistrale;02;Arts and humanities;F;18536
2024;TTTTT;TOTALE ATENEI;5697;ITALIA;Laurea Magistrale;02;Arts and humanities;M;5697
2024;TTTTT;TOTALE ATENEI;18809;ITALIA;Laurea Magistrale;03;Social sciences, journalism and information;F;18809
2024;TTTTT;TOTALE ATENEI;9268;ITALIA;Laurea Magistrale;03;Social sciences, journalism and information;M;9268
2024;TTTTT;TOTALE ATENEI;10034;ITALIA;Laurea Magistrale;04;Business, administration and law;F;10034
2024;TTTTT;TOTALE ATENEI;9603;ITALIA;Laurea Magistrale;04;Business, administration and law;M;9603
2024;TTTTT;TOTALE ATENEI;10102;ITALIA;Laurea Magistrale;05;Natural sciences, mathematics and statistics;F;10102
2024;TTTTT;TOTALE ATENEI;6790;ITALIA;Laurea Magistrale;05;Natural sciences, mathematics and statistics;M;6790
2024;TTTTT;TOTALE ATENEI;658;ITALIA;Laurea Magistrale;06;Information and Communication Technologies (ICTs);F;658
2024;TTTTT;TOTALE ATENEI;1886;ITALIA;Laurea Magistrale;06;Information and Communication Technologies (ICTs);M;1886
2024;TTTTT;TOTALE ATENEI;9587;ITALIA;Laurea Magistrale;07;Engineering, manufacturing and construction;F;9587
2024;TTTTT;TOTALE ATENEI;19545;ITALIA;Laurea Magistrale;07;Engineering, manufacturing and construction;M;19545
2024;TTTTT;TOTALE ATENEI;1172;ITALIA;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;F;1172
2024;TTTTT;TOTALE ATENEI;1399;ITALIA;Laurea Magistrale;08;Agriculture, forestry, fisheries and veterinary;M;1399
2024;TTTTT;TOTALE ATENEI;4823;ITALIA;Laurea Magistrale;09;Health and welfare;F;4823
2024;TTTTT;TOTALE ATENEI;3183;ITALIA;Laurea Magistrale;09;Health and welfare;M;3183
2024;TTTTT;TOTALE ATENEI;2438;ITALIA;Laurea Magistrale;10;Services;F;2438
2024;TTTTT;TOTALE ATENEI;3537;ITALIA;Laurea Magistrale;10;Services;M;3537
2024;TTTTT;TOTALE ATENEI;5598;ITALIA;Laurea Magistrale Ciclo Unico;01;Education;F;5598
2024;TTTTT;TOTALE ATENEI;249;ITALIA;Laurea Magistrale Ciclo Unico;01;Education;M;249
2024;TTTTT;TOTALE ATENEI;68;ITALIA;Laurea Magistrale Ciclo Unico;02;Arts and humanities;F;68
2024;TTTTT;TOTALE ATENEI;12;ITALIA;Laurea Magistrale Ciclo Unico;02;Arts and humanities;M;12
2024;TTTTT;TOTALE ATENEI;8566;ITALIA;Laurea Magistrale Ciclo Unico;04;Business, administration and law;F;8566
2024;TTTTT;TOTALE ATENEI;6366;ITALIA;Laurea Magistrale Ciclo Unico;04;Business, administration and law;M;6366
2024;TTTTT;TOTALE ATENEI;1096;ITALIA;Laurea Magistrale Ciclo Unico;07;Engineering, manufacturing and construction;F;1096
2024;TTTTT;TOTALE ATENEI;699;ITALIA;Laurea Magistrale Ciclo Unico;07;Engineering, manufacturing and construction;M;699
2024;TTTTT;TOTALE ATENEI;510;ITALIA;Laurea Magistrale Ciclo Unico;08;Agriculture, forestry, fisheries and veterinary;F;510
2024;TTTTT;TOTALE ATENEI;216;ITALIA;Laurea Magistrale Ciclo Unico;08;Agriculture, forestry, fisheries and veterinary;M;216
2024;TTTTT;TOTALE ATENEI;9430;ITALIA;Laurea Magistrale Ciclo Unico;09;Health and welfare;F;9430
2024;TTTTT;TOTALE ATENEI;5632;ITALIA;Laurea Magistrale Ciclo Unico;09;Health and welfare;M;5632
2024;TTTTT;TOTALE ATENEI;68;ITALIA;Vecchio Ordinamento;01;Education;F;68
2024;TTTTT;TOTALE ATENEI;3;ITALIA;Vecchio Ordinamento;01;Education;M;3
2024;TTTTT;TOTALE ATENEI;69;ITALIA;Vecchio Ordinamento;02;Arts and humanities;F;69
2024;TTTTT;TOTALE ATENEI;15;ITALIA;Vecchio Ordinamento;02;Arts and humanities;M;15
2024;TTTTT;TOTALE ATENEI;22;ITALIA;Vecchio Ordinamento;03;Social sciences, journalism and information;F;22
2024;TTTTT;TOTALE ATENEI;17;ITALIA;Vecchio Ordinamento;03;Social sciences, journalism and information;M;17
2024;TTTTT;TOTALE ATENEI;69;ITALIA;Vecchio Ordinamento;04;Business, administration and law;F;69
2024;TTTTT;TOTALE ATENEI;36;ITALIA;Vecchio Ordinamento;04;Business, administration and law;M;36
2024;TTTTT;TOTALE ATENEI;22;ITALIA;Vecchio Ordinamento;05;Natural sciences, mathematics and statistics;F;22
2024;TTTTT;TOTALE ATENEI;12;ITALIA;Vecchio Ordinamento;05;Natural sciences, mathematics and statistics;M;12
2024;TTTTT;TOTALE ATENEI;3;ITALIA;Vecchio Ordinamento;06;Information and Communication Technologies (ICTs);M;3
2024;TTTTT;TOTALE ATENEI;10;ITALIA;Vecchio Ordinamento;07;Engineering, manufacturing and construction;F;10
2024;TTTTT;TOTALE ATENEI;23;ITALIA;Vecchio Ordinamento;07;Engineering, manufacturing and construction;M;23
2024;TTTTT;TOTALE ATENEI;6;ITALIA;Vecchio Ordinamento;08;Agriculture, forestry, fisheries and veterinary;F;6
2024;TTTTT;TOTALE ATENEI;3;ITALIA;Vecchio Ordinamento;08;Agriculture, forestry, fisheries and veterinary;M;3
2024;TTTTT;TOTALE ATENEI;11;ITALIA;Vecchio Ordinamento;09;Health and welfare;F;11
2024;TTTTT;TOTALE ATENEI;8;ITALIA;Vecchio Ordinamento;09;Health and welfare;M;8
2024;TTTTT;TOTALE ATENEI;1;ITALIA;Vecchio Ordinamento;10;Services;F;1
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;01;Education;F;307
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;01;Education;M;19
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;F;900
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;02;Arts and humanities;M;314
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;03;Social sciences, journalism and information;F;1464
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;03;Social sciences, journalism and information;M;712
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;F;889
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;04;Business, administration and law;M;741
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;Laurea;05;Natural sciences, mathematics and statistics;F;443
