ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;Classe_Voto_Laurea;Genere;LAU
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;101-105;F;45749
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;101-105;M;31852
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;106-110;F;52394
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;106-110;M;32950
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;110 e lode;F;60776
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;110 e lode;M;35099
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;66-90;F;19887
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;66-90;M;24324
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;91-100;F;60721
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;91-100;M;51628
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;voto non previsto;F;137
2024;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;voto non previsto;M;36
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;91-100;F;2626
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;110 e lode;F;2024
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;66-90;M;747
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;106-110;F;2146
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;110 e lode;M;1079
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;101-105;M;911
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;106-110;M;1014
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;101-105;F;1965
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;91-100;M;1575
2024;00101;Torino - Università degli studi;Piemonte;NORD-OVEST;66-90;F;772
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;91-100;F;833
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;106-110;F;500
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;101-105;F;517
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;66-90;F;422
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;110 e lode;M;715
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;66-90;M;1104
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;91-100;M;1644
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;106-110;M;962
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;101-105;M;916
2024;00102;Torino - Politecnico;Piemonte;NORD-OVEST;110 e lode;F;345
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;101-105;M;140
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;106-110;F;263
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;91-100;F;488
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;66-90;M;188
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;106-110;M;134
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;66-90;F;189
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;110 e lode;M;133
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;110 e lode;F;245
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;91-100;M;306
2024;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";Piemonte;NORD-OVEST;101-105;F;257
