Classe;CorsoTIPO;DESC_CLASSE;ISCED_F_1dgt;DESC_ISCED_F_1dgt;ISCED_F_2dgt;DESC_ISCED_F_2dgt;ISCED_F_3dgt;DESC_ISCED_F_3dgt;Area STEM
65/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze dell'educazione degli adulti e della formazione continua;01;Education;011;Inter-disciplinary programmes and qualifications involving Information and Communication Technologies (ICTs);0111;Education science;No
LM-85 bis_BZ16;Laurea Magistrale a Ciclo Unico - dm 270/04;Scienze  della formazione primaria;01;Education;011;Education;0111;Education science;No
LM-85 bis_AO;Laurea Magistrale a Ciclo Unico - dm 270/04;Scienze della  formazione primaria;01;Education;011;Education;0111;Education science;No
LM-85 bis_UD;Laurea Magistrale a Ciclo Unico - dm 270/04;Scienze della formazione primaria;01;Education;011;Education;0111;Education science;No
LM-85bis_BZ17;Laurea Magistrale a Ciclo Unico - dm 270/04;Scienze della formazione primaria;01;Education;011;Education;0111;Education science;No
LM-85;Laurea Magistrale - dm 270/04;Scienze pedagogiche;01;Education;011;Education;0111;Education science;No
LM-85 bis;Laurea Magistrale a Ciclo Unico - dm 270/04;Scienze della formazione primaria;01;Education;011;Education;0111;Education science;No
87/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze pedagogiche;01;Education;011;Education;0111;Education science;No
18-bis;Corso di Laurea - vecchio ordinamento;Scienze della Formazione Primaria - Quadriennale;01;Education;011;Education;0111;Education science;No
L-19;Laurea - dm 270/04;Scienze dell'educazione e della formazione;01;Education;011;Education;0111;Education science;No
LM-50;Laurea Magistrale - dm 270/04;Programmazione e gestione dei servizi educativi;01;Education;011;Education;0111;Education science;No
18;Laurea  - dm 509/99;Scienze dell'educazione e della formazione;01;Education;011;Education;0111;Education science;No
LM-57;Laurea Magistrale - dm 270/04;Scienze dell'educazione degli adulti e della formazione continua;01;Education;011;Education;0111;Education science;No
LM-93;Laurea Magistrale - dm 270/04;Teorie e metodologie dell'e-learning e della media education;01;Education;011;Education;0111;Education science;No
56/S;Laurea Specialistica - dm 509/99;Specialistiche in programmazione e gestione dei servizi educativi e formativi;01;Education;011;Education;0111;Education science;No
73/S;Laurea Specialistica - dm 509/99;Specialistiche in scienze dello spettacolo e della produzione multimediale;02;Arts and humanities;021;Arts;0211;Audio-visual techniques and media production;No
LM-65;Laurea Magistrale - dm 270/04;Scienze dello spettacolo e produzione multimediale;02;Arts and humanities;021;Arts;0211;Audio-visual techniques and media production;No
103/S;Laurea Specialistica - dm 509/99;Specialistiche in teorie e metodi del disegno industriale;02;Arts and humanities;021;Arts;0212;Fashion, interior and industrial design;No
LM-12;Laurea Magistrale - dm 270/04;Design;02;Arts and humanities;021;Arts;0212;Fashion, interior and industrial design;No
42;Laurea  - dm 509/99;Disegno industriale;02;Arts and humanities;021;Arts;0212;Fashion, interior and industrial design;No
L-04;Laurea - dm 270/04;Disegno industriale;02;Arts and humanities;021;Arts;0212;Fashion, interior and industrial design;No
L-01;Laurea - dm 270/04;Beni culturali;02;Arts and humanities;021;Arts;0213;Fine arts;No
LM-89;Laurea Magistrale - dm 270/04;Storia dell'arte;02;Arts and humanities;021;Arts;0213;Fine arts;No
13;Laurea  - dm 509/99;Scienze dei beni culturali;02;Arts and humanities;021;Arts;0213;Fine arts;No
95/S;Laurea Specialistica - dm 509/99;Specialistiche in storia dell'arte;02;Arts and humanities;021;Arts;0213;Fine arts;No
51/S;Laurea Specialistica - dm 509/99;Specialistiche in musicologia e beni musicali;02;Arts and humanities;021;Arts;0215;Music and performing arts;No
LM-45ab;Laurea Magistrale - dm 270/04;Musicologia e beni musicali (abilitazione A032);02;Arts and humanities;021;Arts;0215;Music and performing arts;No
LM-45;Laurea Magistrale - dm 270/04;Musicologia e beni musicali;02;Arts and humanities;021;Arts;0215;Music and performing arts;No
L-03;Laurea - dm 270/04;Discipline delle arti figurative, della musica, dello spettacolo e della moda;02;Arts and humanities;021;Arts;0219;Arts not elsewhere classified;No
23;Laurea  - dm 509/99;Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda;02;Arts and humanities;021;Arts;0219;Arts not elsewhere classified;No
