"PROFILO DEI LAUREATI"
"";"Collettivo selezionato";"Uomini";"Donne"
"Numero di laureati";"37683";"21542";"16141"
"Hanno compilato il questionario";"35385";"20087";"15298"
"Tasso di compilazione";"93,9";"93,2";"94,8"
"1. CARATTERISTICHE ANAGRAFICHE"
"";"Collettivo selezionato";"Uomini";"Donne"
"Genere (%)";"";"";""
"Uomini";"57,2";"100,0";"-"
"Donne";"42,8";"-";"100,0"
"Eta' alla laurea (%)";"";"";""
"Meno di 23 anni";"0,1";"0,1";"0,1"
"23-24 anni";"30,7";"29,5";"32,2"
"25-26 anni";"38,6";"38,4";"38,8"
"27 anni e oltre";"30,6";"31,9";"29,0"
"Eta' alla laurea (medie, in anni)";"26,7";"26,7";"26,6"
"Cittadini stranieri (%)";"11,5";"11,5";"11,5"
"Residenza (%)";"";"";""
"Stessa provincia della sede degli studi";"42,8";"44,4";"40,8"
"Altra provincia della stessa regione";"24,0";"24,3";"23,6"
"Altra regione";"29,1";"27,6";"31,2"
"Estero";"4,0";"3,8";"4,4"
"2. ORIGINE SOCIALE"
"";"Collettivo selezionato";"Uomini";"Donne"
"Titolo di studio dei genitori (%)";"";"";""
"Almeno un genitore laureato";"36,5";"36,3";"36,7"
"Entrambi con laurea";"15,9";"15,7";"16,2"
"Uno solo con laurea";"20,6";"20,7";"20,4"
"Nessun genitore laureato";"62,8";"63,0";"62,6"
"Diploma di scuola secondaria di secondo grado";"45,5";"45,6";"45,4"
"Qualifica professionale, titolo inferiore o nessun titolo";"17,3";"17,4";"17,3"
"Classe sociale (%)";"";"";""
"Classe elevata";"23,6";"23,1";"24,2"
"Classe media impiegatizia";"34,3";"35,0";"33,4"
"Classe media autonoma";"22,0";"21,8";"22,2"
"Classe del lavoro esecutivo";"19,1";"19,1";"19,1"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";"Collettivo selezionato";"Uomini";"Donne"
"Diploma (%)";"";"";""
"Liceale";"70,9";"64,5";"79,4"
"Liceo classico";"7,6";"4,2";"12,3"
"Liceo linguistico";"3,2";"0,9";"6,2"
"Liceo scientifico";"57,0";"58,5";"55,0"
"Liceo delle scienze umane";"2,0";"0,4";"4,1"
"Liceo artistico e musicale e coreutico";"1,1";"0,6";"1,8"
